platform,source,original_name,original_label,disposition,rules,unified_key,reason,flow_group
ios,IOS-019,tutorial_intro,튜토리얼 인트로 (온보딩 가이드),screen,S1,S021,서비스 소개 그림을 탐색하는 가이드입니다. 그림을 넘기는 것은 내부 단계로 기록하고 전체 가이드 진입에만 화면 조회를 보냅니다.,
ios,IOS-020,signup_terms_document,가입 약관 전문 보기 (동의 시트 위 전체 높이 시트),screen,M1 S1,S024,약관 전문을 읽는 공통 목적지입니다. 가입·재동의·설정에서 여는 경로와 문서 종류는 계약의 구분 값으로 남기고 이름을 늘리지 않습니다.,
ios,IOS-021,signup_terms,이용약관 동의 바텀시트 (가입),screen,S2,S004,신규 가입에 필요한 동의를 선택·제출합니다. 약관 전문 읽기와 기존 회원 재동의는 목적이 달라 나눕니다.,
ios,IOS-022,profile_expression_onboarding,자기소개 만들기 (키워드·이미지·소개글 온보딩),screen,S1,S027,키워드·이미지·소개글을 처음 등록하는 자기소개 과업입니다. 스크롤하며 열리는 각 항목은 내부 단계로 기록해 하나의 등록 방문으로 묶습니다.,
ios,IOS-023,profile_expression_edit,자기소개 수정,screen,S1,S028,등록된 자기소개 내용을 고쳐 저장합니다. 배경 갱신 중 토스트만 뜨고 편집기가 열리지 않으면 이 화면 조회를 보내지 않습니다.,
ios,IOS-024,profile_expression_image_viewer,자기소개(표현) 편집 — 첨부 이미지 전체보기,screen,M1 S1,S042,미디어를 크게 열어 확인하는 동일 목적지입니다. 첨부 종류와 사용 맥락은 별도 값으로 구분합니다.,
ios,IOS-025,profile_cover_onboarding,프로필 커버 만들기 (첫 온보딩),screen,M1 M3 S2,S025,두 OS의 커버 만들기를 하나의 과업으로 셉니다. AOS 여섯 단계가 iOS에 모두 존재한다고 가정하지 않습니다. 실제 단계는 step으로 기록하며 단계마다 화면 조회를 늘리지 않습니다.,
ios,IOS-026,profile_cover_video_player,프로필 커버 만들기 — 첨부 동영상 전체화면 재생,screen,M1 S1,S042,미디어를 크게 열어 확인하는 동일 목적지입니다. 첨부 종류와 사용 맥락은 별도 값으로 구분합니다.,
ios,IOS-027,profile_cover_image_viewer,프로필 커버 만들기 — 첨부 이미지 전체보기,screen,M1 S1,S042,미디어를 크게 열어 확인하는 동일 목적지입니다. 첨부 종류와 사용 맥락은 별도 값으로 구분합니다.,
ios,IOS-028,profile_cover_edit,프로필 커버 수정,screen,S1,S026,이미 저장된 커버를 바꿔 저장합니다. 특정 미디어 항목만 바로 여는 진입도 같은 수정 목적이며 새 커버 만들기와 나눕니다.,
ios,IOS-029,profile_expression_photo_picker,자기소개 이미지 선택 (시스템 피커),system,X1,,OS 사진·파일 선택기나 메일 작성기입니다. 앱은 열기·선택 결과만 기록하고 시스템 화면 이름을 만들지 않습니다.,
ios,IOS-030,home,홈(디스커버리 피드) 탭,screen,S1,S030,크리에이터·작업물 카드를 둘러보는 홈 피드입니다. AOS 홈과 iOS 디스커버리의 역할을 맞추며 피드의 개별 카드 노출을 홈 재진입으로 세지 않습니다.,
ios,IOS-031,muse_comment_list,Muse 한 마디 목록,screen,S1,S033,Muse의 한마디를 모아 읽는 목록입니다. 각 카드의 수정·삭제 메뉴는 보조 조작이며 목록의 새 방문으로 세지 않습니다.,
ios,IOS-032,discovery_creator_module,디스커버리 크리에이터 모듈 전체보기,screen,S1,S031,홈 추천 줄의 크리에이터를 모두 펼쳐 보는 목록입니다. 피드 안의 가로 줄과 나누며 서버가 바꾸는 묶음 제목은 화면 이름에 넣지 않습니다.,
ios,IOS-033,inspiration_list,영감 목록,screen,S1,S032,링크로 지정한 영감에서 이어 탐색하는 목록입니다. 딥링크로만 열려도 읽고 상세로 이동하는 목적지가 있어 채택하며 링크별 이름은 만들지 않습니다.,
ios,IOS-034,inspiration_detail,영감 상세,screen,S1,S037,영감 한 편을 읽고 반응합니다. 홈·해시태그·좋아요 목록·업로드 완료 뒤의 진입을 같은 이름으로 맞춥니다.,
ios,IOS-035,portfolio_detail,포트폴리오 상세,screen,S1,S036,작업물 한 편을 읽는 목적지입니다. 미디어 종류와 진입 위치는 이름을 나누지 않으며 다른 작업물로 넘기면 새 방문입니다.,
ios,IOS-036,portfolio_image_viewer,포트폴리오 사진 전체보기 뷰어,screen,M1 S1,S042,미디어를 크게 열어 확인하는 동일 목적지입니다. 첨부 종류와 사용 맥락은 별도 값으로 구분합니다.,
ios,IOS-037,muse_comment_manage,Muse 한 마디 관리 시트,action,A1,,수정하기·삭제하기 두 명령만 고르는 메뉴입니다. 실제 글 입력은 Muse 한 마디 작성·수정 화면에서 하므로 이 메뉴는 ui_action으로 기록합니다.,
ios,IOS-038,muse_comment_input,Muse 한 마디 작성/수정 시트,screen,S2,S035,한마디를 작성하거나 불러와 수정해 저장하는 입력 과업입니다. 작성·수정은 mode로 구분하고 명령만 고르는 37행 메뉴와 나눕니다.,
ios,IOS-039,inspiration_option_owner,내 영감 옵션 시트 (수정·삭제·공유),action,A1,,정렬·첨부 종류·수정/삭제·언어 종류처럼 다음 명령을 고르는 메뉴입니다. 독립 입력 상태나 제출 결과가 없어 화면 조회 대신 선택 행동을 셉니다.,
ios,IOS-040,portfolio_option_owner,내 작업물 소유자 액션 시트 (대표작·수정·삭제·공유),action,A1,,정렬·첨부 종류·수정/삭제·언어 종류처럼 다음 명령을 고르는 메뉴입니다. 독립 입력 상태나 제출 결과가 없어 화면 조회 대신 선택 행동을 셉니다.,
ios,IOS-041,home_portfolio_option_my,내 포트폴리오 옵션 (수정·삭제),action,A1,,정렬·첨부 종류·수정/삭제·언어 종류처럼 다음 명령을 고르는 메뉴입니다. 독립 입력 상태나 제출 결과가 없어 화면 조회 대신 선택 행동을 셉니다.,
ios,IOS-042,home_project_card_option_my,내 프로젝트 카드 더보기 (수정·삭제·공유),action,A1 V1,,정렬·첨부 종류·수정/삭제·언어 종류처럼 다음 명령을 고르는 메뉴입니다. 독립 입력 상태나 제출 결과가 없어 화면 조회 대신 선택 행동을 셉니다. 현재 원본에는 도달 불가로 적혀 있어 실제 도달 증거 전까지 발송하지 않습니다.,
ios,IOS-043,home_inspiration_comment,영감 댓글 바텀시트 (디스커버리 카드),screen,S2,S039,영감의 댓글·답글을 읽고 씁니다. 피드에서 바로 연 시트와 상세에서 연 시트의 차이는 진입 위치이며 같은 이름을 사용합니다.,
ios,IOS-044,inspiration_detail_comment,영감 상세 댓글 바텀시트,screen,S2,S039,영감의 댓글·답글을 읽고 씁니다. 피드에서 바로 연 시트와 상세에서 연 시트의 차이는 진입 위치이며 같은 이름을 사용합니다.,
ios,IOS-045,inspiration_option_other,타인 영감 옵션 시트 (프로필 저장·공유·차단·신고),action,A1,,정렬·첨부 종류·수정/삭제·언어 종류처럼 다음 명령을 고르는 메뉴입니다. 독립 입력 상태나 제출 결과가 없어 화면 조회 대신 선택 행동을 셉니다.,
ios,IOS-046,portfolio_option_other,타인 포트폴리오 더보기 옵션 시트,action,A1,,정렬·첨부 종류·수정/삭제·언어 종류처럼 다음 명령을 고르는 메뉴입니다. 독립 입력 상태나 제출 결과가 없어 화면 조회 대신 선택 행동을 셉니다.,
ios,IOS-047,home_portfolio_comment,포트폴리오 댓글 바텀시트 (디스커버리 카드),screen,S2,S038,작업물의 댓글 전체를 읽고 씁니다. 피드·상세·프로필에서 연 댓글은 같은 대상과 기능이므로 하나로 합칩니다.,
ios,IOS-048,portfolio_detail_comment,포트폴리오 상세 댓글 바텀시트,screen,S2,S038,작업물의 댓글 전체를 읽고 씁니다. 피드·상세·프로필에서 연 댓글은 같은 대상과 기능이므로 하나로 합칩니다.,
ios,IOS-049,portfolio_respect_phrase,리스펙트 한마디 고르기,screen,S2,S040,작업물에 보낼 리스펙트 문구를 선택·제출합니다. 선택 자체가 사용자 반응을 정하는 과업이므로 다음 기능만 고르는 메뉴와 구분해 셉니다.,
ios,IOS-050,home_card_long_press,카드 롱프레스 액션 오버레이,action,A1,,"카드를 길게 눌러 게임을 시작하는 제스처 오버레이입니다. 카드 조작은 ui_action, 실제 게임이 열리면 해당 게임 화면 조회를 보냅니다. 수정·삭제 옵션 메뉴라고 적었던 이전 분류 사유를 정정합니다.",
ios,IOS-051,detail_browse_unavailable,상세를 열 수 없어요 (탐색 세션 만료 안내),action,A3,,로딩·빈 목록·실패는 현재 목적지의 상태입니다. 대상이 없어 목적지를 표시하지 못하면 실패 행동만 보내고 가짜 상세 조회를 만들지 않습니다.,
ios,IOS-052,-,콘텐츠 상세 페이저 (스와이프 브라우징 컨테이너),container,X2,,탭·페이저·웹뷰의 바깥 틀입니다. 실제 보이는 자식 목적지에서 한 번 보냅니다. 웹 목적지를 모르면 진단 기록 후 이름을 등록합니다.,
ios,IOS-053,my_profile_card,MY 탭 (내 프로필 루트),screen,M1 M4 S1,S059,MY 바깥 탭과 안쪽 프로필에서 중복 발송하지 않습니다. 실제 전면 목적지 한 곳에서만 보냅니다.,
ios,IOS-054,my_onboarding_intro,MY 탭 온보딩 인트로 (커버 미선택 회원),screen,S1,S029,커버 미등록 회원에게 프로필 대신 보이는 만들기 안내입니다. 이력·작업물·공유 기능이 없는 상태여서 정상 내 프로필 방문과 나눕니다.,
ios,IOS-055,basic_info_id,ID 변경,screen,S1,S064,기존 회원이 공개 ID를 바꿉니다. 이전 링크 단절·변경 간격 제한이 있는 수정이므로 가입 ID를 처음 만드는 signup_id와 합치지 않습니다.,
ios,IOS-056,resume_career_register,경력 추가 · 수정,screen,S1,S086,경력 한 줄의 프로젝트·역할·기간을 입력합니다. 새 행·기존 행은 같은 서식으로 묶어 mode로 구분하고 저장·삭제는 결과로 기록합니다.,
ios,IOS-057,my_profile_preview,내 프로필 미리보기,screen,S1,S060,내 프로필이 타인에게 보이는 모습을 확인하고 공유합니다. 정상 MY 관리와 나누며 비공개 안내만 뜨고 미리보기가 열리지 않으면 보내지 않습니다.,
ios,IOS-058,basic_info_link_register,링크 등록,screen,S1,S080,프로필 링크 주소와 제목을 저장합니다. 기존 링크 수정도 같은 입력 과업이며 링크 열기·삭제 명령만 고르는 메뉴는 제외합니다.,
ios,IOS-059,resume_awards_register,수상 · 자격 추가 · 수정,screen,S1,S088,수상·자격 한 줄의 종류·명칭·날짜를 입력합니다. 종류와 추가·수정 상태로 이름을 늘리지 않고 구분 값을 씁니다.,
ios,IOS-060,basic_info_signature_keyword_register,시그니처 키워드 등록,reserved,S1 V1,S071,한 갈래의 키워드를 골라 등록합니다. 유일한 입구가 도달 불가 목록이므로 선택 화면도 예약하고 발송하지 않습니다.,
ios,IOS-061,basic_info_signature_keyword,시그니처 키워드 목록,reserved,S1 V1,S070,시그니처 키워드를 갈래별로 관리하는 목록입니다. 원본에 여는 입구가 없다고 적혀 있어 이름만 예약하고 도달 확인 전 보내지 않습니다.,
ios,IOS-062,basic_info_name_en,영문 이름 입력,screen,S1,S066,기존 프로필의 성·이름·미들네임을 입력합니다. 한글 이름과 입력 구조가 다르며 가입 단계가 확인되면 signup_name_en을 씁니다.,
ios,IOS-063,basic_info_email_verify,이메일 인증번호 입력,screen,S1,S076,연락용 이메일의 사용 권한을 코드로 확인합니다. 가입·로그인·2단계 인증 설정과 확인 대상이 달라 나눕니다.,
ios,IOS-064,basic_info_phone_register,전화번호 입력,screen,S1,S078,국가번호와 연락 전화번호를 저장합니다. 기존 번호 유무에 따른 진입 메뉴 차이는 같은 입력 목적의 차이로 보지 않습니다.,
ios,IOS-065,basic_info_profession,직업 · 전문분야 목록,screen,S1,S067,등록 직업의 추가·삭제·대표 지정을 관리합니다. 새 직업 후보를 고르는 선택 화면과 관리 대상·할 일이 달라 나눕니다.,
ios,IOS-066,resume_management,커리어 관리,screen,S1,S085,학력·경력·수상·자격을 관리하는 이력 허브입니다. AOS user_resume과 iOS 커리어 관리를 대응시키고 이력을 타인에게 보여 주는 프로필과 나눕니다.,
ios,IOS-067,project_card_list,프로젝트 카드 목록,screen,S1,S111,프로젝트 여러 건을 훑고 상세로 이동합니다. 앱 버튼이 없어도 딥링크로 실제 열리는 목록을 채택하며 개별 카드 조회와 나눕니다.,
ios,IOS-068,project_detail,프로젝트 카드 상세,screen,S1,S110,프로젝트 한 건의 모집 정보·작성자·지원 상태를 읽습니다. 지원서 작성·지원자 관리와 나누고 유입 경로로 이름을 늘리지 않습니다.,
ios,IOS-069,profile_detail,프로필 상세 (다른 사용자),screen,M1 M4 S1,S052,타인 프로필의 이력·작업물·영감·소개를 봅니다. AOS에서 영감 탭만 별도 이름으로 보내던 예외를 없애고 양 OS 모두 같은 이름과 tab 값을 씁니다.,
ios,IOS-070,profile_introduction,프로필 소개 탭 (프로필 카드 세그먼트 4번째 탭),screen,M1 M4 S1,S052 S059,타인 프로필의 이력·작업물·영감·소개를 봅니다. AOS에서 영감 탭만 별도 이름으로 보내던 예외를 없애고 양 OS 모두 같은 이름과 tab 값을 씁니다. MY 바깥 탭과 안쪽 프로필에서 중복 발송하지 않습니다. 실제 전면 목적지 한 곳에서만 보냅니다.,
ios,IOS-071,resume_education_register,학력 추가 · 수정,screen,S1,S087,학력 한 줄의 학교·전공·상태·기간을 입력합니다. 추가·수정은 mode로 구분하고 이력 관리 허브와 입력 방문은 나눕니다.,
ios,IOS-072,basic_info_name_ko,한글 이름 입력,screen,S1,S065,기존 프로필의 한글 이름을 저장합니다. 가입 완료 단계와 목적이 달라 my_info 영역으로 구분합니다.,
ios,IOS-073,basic_info_region_global_city,해외 도시 직접 입력,screen,S1,S073,해외 활동 지역을 직접 입력합니다. 국내 목록 선택과 다른 입력 목적지가 열리므로 나누며 나라·도시·지역 칸은 내부 항목입니다.,
ios,IOS-074,basic_info_region,활동 지역 (기본 정보 관리),screen,M1 S2,S072,iOS 74행과 92행은 같은 RegionListView로 지역 추가·삭제·대표 지정을 합니다. 92행을 읽기 전용으로 제외했던 판단을 정정하고 진입 경로만 previous_screen으로 구분합니다.,
ios,IOS-075,basic_info_management,기본 정보 관리,screen,S1,S063,기본 프로필 항목을 확인하고 편집할 항목을 고르는 허브입니다. 조회·개별 입력과 나누고 데이터를 새로 읽었다고 허브 방문을 재발송하지 않습니다.,
ios,IOS-076,basic_info_email_register,연락 이메일 입력,screen,S1,S075,가입 계정과 별개인 연락용 이메일을 입력합니다. 계정 이메일 강제 등록과 나누고 후속 인증은 my_info_email_verify로 기록합니다.,
ios,IOS-077,register_email,이메일 등록 (계정 이메일 미보유 강제 등록),screen,S1,S084,계정 이메일 등록·인증을 끝내야 앱으로 돌아가는 관문입니다. 선택적인 연락처 수정과 달리 앱 이용을 막는 조건이므로 나눕니다.,
ios,IOS-078,basic_info_profession_select,직업 · 전문분야 선택,screen,S1,S068,직업 후보에서 추가할 항목들을 골라 저장합니다. 찾지 못해 직접 입력할 때는 my_info_profession_direct로 이동합니다.,
ios,IOS-079,project_application_compose,프로젝트 지원 작성,screen,S1,S112,프로젝트 리더에게 자기소개를 적어 지원합니다. 모집 내용을 읽는 상세와 나누고 제출 실패·재시도는 같은 작성 방문의 상태입니다.,
ios,IOS-080,basic_info_profile_image_register,프로필 사진 등록(사진 선택 대기),container,A3,,"사진첩을 기다리는 빈 대기 표면이며 원본에도 도달 불가로 적혀 있습니다. 실제 사진 선택은 시스템 선택기, 자르기는 이미지 편집 화면에서 처리합니다. 이름 예약 대상에서도 제외합니다.",
ios,IOS-081,basic_info_visibility,개인정보 공개설정 시트,screen,S2,S082,프로필 항목의 공개 대상을 바꿉니다. 생년월일·지역·연락처마다 이름을 늘리지 않고 대상 항목을 구분 값으로 남깁니다.,
ios,IOS-082,profile_collaboration_status,노크 수신 설정 바텀시트,screen,S2,S062,앞으로 받을 대화 요청의 허용 여부를 바꿉니다. 현재 목록 표시만 바꾸는 정렬과 달리 이후 상대방의 요청 가능성에 영향을 주는 설정 과업입니다.,
ios,IOS-083,basic_info_link,링크 관리 시트,action,A1,,"링크의 수정하기·삭제하기 명령 메뉴입니다. 값을 입력하는 목적지는 별도로 있으며, 여기서는 선택한 명령을 ui_action으로 기록합니다.",
ios,IOS-084,basic_info_birth_gender,생년월일 · 성별,screen,S2,S081,등록 생년월일·성별을 확인·수정·삭제합니다. 실제 값 관리가 있으므로 안내와 나누고 날짜·성별 선택은 내부 조작으로 둡니다.,
ios,IOS-085,profile_today_visitor,오늘 방문한 사용자 바텀시트,screen,S2,S061,오늘 내 프로필을 방문한 사람과 방문 수를 확인합니다. 시트 형태와 무관하게 목록 탐색이 있으며 타인 프로필에도 같은 기능이 있다고 가정하지 않습니다.,
ios,IOS-086,basic_info_name,이름 언어 선택 시트,action,A1,,정렬·첨부 종류·수정/삭제·언어 종류처럼 다음 명령을 고르는 메뉴입니다. 독립 입력 상태나 제출 결과가 없어 화면 조회 대신 선택 행동을 셉니다. 이전 표의 화면 채택을 철회했습니다.,
ios,IOS-087,basic_info_email,이메일 관리 시트,action,A1,,"이메일의 수정하기·삭제하기 명령 메뉴입니다. 값을 입력하는 목적지는 별도로 있으며, 여기서는 선택한 명령을 ui_action으로 기록합니다.",
ios,IOS-088,basic_info_phone,전화번호 관리 시트,action,A1,,"전화번호의 수정하기·삭제하기 명령 메뉴입니다. 값을 입력하는 목적지는 별도로 있으며, 여기서는 선택한 명령을 ui_action으로 기록합니다.",
ios,IOS-089,basic_info_profession_direct,직업 직접 추가,screen,S2,S069,목록에 없는 직업을 입력·추가합니다. 제시된 후보 선택과 결과가 달라 나누고 입력 중 추천 갱신은 같은 방문으로 봅니다.,
ios,IOS-090,basic_info_profile_image,프로필 사진 변경 시트,action,A1,,정렬·첨부 종류·수정/삭제·언어 종류처럼 다음 명령을 고르는 메뉴입니다. 독립 입력 상태나 제출 결과가 없어 화면 조회 대신 선택 행동을 셉니다.,
ios,IOS-091,profile_portfolio_comment,프로필 상세 포트폴리오 댓글 바텀시트,screen,S2,S038,작업물의 댓글 전체를 읽고 씁니다. 피드·상세·프로필에서 연 댓글은 같은 대상과 기능이므로 하나로 합칩니다.,
ios,IOS-092,profile_activity_region,활동 지역 (프로필 상세 바텀시트),screen,M1 S2,S072,iOS 74행과 92행은 같은 RegionListView로 지역 추가·삭제·대표 지정을 합니다. 92행을 읽기 전용으로 제외했던 판단을 정정하고 진입 경로만 previous_screen으로 구분합니다.,
ios,IOS-093,finder_search,파인더 검색 입력 화면 (최근 검색어·최근 본 크리에이터·인기 검색어·추천 카테고리),screen,S1,S044,검색어를 정하며 최근 검색·추천 카테고리를 봅니다. 검색창 초점만으로 추정하지 않고 실제 입력 화면이 나타날 때 보냅니다.,
ios,IOS-094,finder,파인더 탭 (검색 홈),screen,S1,S043,검색어 입력 전 콘텐츠를 둘러보는 탐색 출발점입니다. 검색 입력 보조 화면과 검색어를 적용한 결과는 나눕니다.,
ios,IOS-095,finder_shuffle_bundle,Shuffle 키워드 묶음 목록,screen,S1,S050,고른 키워드의 콘텐츠 목록입니다. 가변 키워드 문자열은 이름에서 빼고 키워드를 고르는 추천 화면과 나눕니다.,
ios,IOS-096,finder_shuffle,Shuffle! 키워드 추천,screen,S1,S049,키워드 카드를 섞어 볼거리를 고르는 추천 목적지입니다. 웹이어도 기능이 식별되므로 공용 웹뷰 이름 대신 이 이름을 보냅니다.,
ios,IOS-097,finder_result_portfolio,검색 결과 - 작업물(포트폴리오) 탭,screen,S1,S046,검색어로 찾은 작업물 목록입니다. 정렬은 보는 방법만 바꾸므로 행동으로 기록하고 조회를 추가하지 않습니다.,
ios,IOS-098,finder_result_creator,검색 결과 - 크리에이터 탭,screen,S1,S045,검색어로 찾은 크리에이터 목록입니다. 작업물·프로젝트와 대상이 달라 나누고 해시태그 유입도 같은 결과 이름을 사용합니다.,
ios,IOS-099,finder_result_project,검색 결과 - 프로젝트 탭,screen,S1,S047,검색어로 찾은 프로젝트 목록입니다. 크리에이터·작업물 결과와 대상 및 지원 경로가 달라 독립 이름을 둡니다.,
ios,IOS-100,finder_creator_detail,검색 결과 크리에이터 프로필 페이저 (좌우로 넘겨 보는 프로필),screen,M1 M4 S1,S052,타인 프로필의 이력·작업물·영감·소개를 봅니다. AOS에서 영감 탭만 별도 이름으로 보내던 예외를 없애고 양 OS 모두 같은 이름과 tab 값을 씁니다.,
ios,IOS-101,finder_result_portfolio_sort,작업물 검색 결과 정렬 바텀시트,action,A1,,정렬 값을 고르고 적용하는 조작입니다. 완료 버튼과 선택 상태가 있어도 이번 분석 질문은 어떤 정렬을 적용했는지이므로 sort_apply 행동으로 충분하다고 판단했습니다. 필터 전체 편집과의 경계는 설계 선택이며 담당자 재검토 대상입니다.,
ios,IOS-102,finder_result_creator_sort,크리에이터 검색 결과 정렬 바텀시트,action,A1,,정렬 값을 고르고 적용하는 조작입니다. 완료 버튼과 선택 상태가 있어도 이번 분석 질문은 어떤 정렬을 적용했는지이므로 sort_apply 행동으로 충분하다고 판단했습니다. 필터 전체 편집과의 경계는 설계 선택이며 담당자 재검토 대상입니다.,
ios,IOS-103,finder_result_project_sort,프로젝트 검색 결과 정렬 바텀시트,action,A1,,정렬 값을 고르고 적용하는 조작입니다. 완료 버튼과 선택 상태가 있어도 이번 분석 질문은 어떤 정렬을 적용했는지이므로 sort_apply 행동으로 충분하다고 판단했습니다. 필터 전체 편집과의 경계는 설계 선택이며 담당자 재검토 대상입니다.,
ios,IOS-104,finder_filter_region,필터 > 지역 추가,screen,M3 S2,S048,검색 조건을 여러 항목에 걸쳐 편집하고 적용·취소합니다. 정렬처럼 한 명령을 즉시 고르는 메뉴와 달리 편집 중인 상태와 제출 결과가 있습니다. 내부 선택 단계는 step으로 기록합니다.,
ios,IOS-105,finder_filter_profession,필터 > 직업 추가,screen,M3 S2,S048,검색 조건을 여러 항목에 걸쳐 편집하고 적용·취소합니다. 정렬처럼 한 명령을 즉시 고르는 메뉴와 달리 편집 중인 상태와 제출 결과가 있습니다. 내부 선택 단계는 step으로 기록합니다.,
ios,IOS-106,finder_filter_tag,필터 > 해시태그 추가,screen,M3 S2,S048,검색 조건을 여러 항목에 걸쳐 편집하고 적용·취소합니다. 정렬처럼 한 명령을 즉시 고르는 메뉴와 달리 편집 중인 상태와 제출 결과가 있습니다. 내부 선택 단계는 step으로 기록합니다.,
ios,IOS-107,finder_filter,크리에이터·포트폴리오·프로젝트 필터 시트,screen,M3 S2,S048,검색 조건을 여러 항목에 걸쳐 편집하고 적용·취소합니다. 정렬처럼 한 명령을 즉시 고르는 메뉴와 달리 편집 중인 상태와 제출 결과가 있습니다. 내부 선택 단계는 step으로 기록합니다.,
ios,IOS-108,chatty_lounge,채티 - 라운지 목록,screen,M4 S1,S152,참여·추천 라운지를 탐색하는 목록입니다. 일반 대화 목록과 방문 목적이 달라 구분합니다.,
ios,IOS-109,chatty_chat,채티 - 채팅 목록 (탭 기본),screen,M4 S1,S151,1:1·팀·프로젝트 대화가 모인 목록입니다. 바깥 채티 탭과 중복 발송하지 않습니다.,
ios,IOS-110,chatty_project,채티 - 프로젝트 목록,screen,M4 S1,S153,참여·지원·추천 프로젝트를 보고 대화방 또는 상세로 이동하는 목록입니다.,
