screen_name,한국어 라벨,구간,종류,핵심,파라미터,AOS 현행,AOS 할 일,AOS 체류,iOS 행,iOS 현행·제안명,iOS 할 일,정의서 v2 키,답하는 질문,비고
basic_info_id,가입 · ID 입력,앱 실행·가입·로그인,화면,핵심,,basic_info_id,현행 유지,3종,12,signup_user_id,제안 개명,auth_signup_id,가입 필수정보 단계별 이탈,
basic_info_ko_name,가입 · 이름 입력(한글),앱 실행·가입·로그인,화면,,,basic_info_ko_name,현행 유지,3종,13,signup_name,제안 개명,auth_signup_name,,iOS 가입 이름 입력은 1단계입니다. 한글 이름 단계로 간주하되 iOS 리드가 확인합니다.
basic_info_en_name,가입 · 영문 이름,앱 실행·가입·로그인,화면,,,basic_info_en_name,현행 유지,3종,,,해당 없음,,,iOS 가입 흐름에 영문 이름 단계 없음(확인).
basic_info_jobs,가입 · 직업 선택,앱 실행·가입·로그인,화면,,,basic_info_jobs,현행 유지,3종,,,확인,,,iOS는 커버 온보딩의 직업 단계(onboarding_cover_intro_profession)와 대응 가능성. 구간 롤업으로 비교.
basic_info_keyword_personal,가입 · 키워드(성향),앱 실행·가입·로그인,화면,,,basic_info_keyword_personal,현행 유지,3종,,,확인,,,iOS는 자기소개 만들기(profile_expression_onboarding) 안 단계. 구간 롤업으로 비교.
basic_info_keyword_working_preference,가입 · 키워드(업무 성향),앱 실행·가입·로그인,화면,,,basic_info_keyword_working_preference,현행 유지,3종,,,확인,,,
basic_info_keyword_ambition,가입 · 키워드(목표),앱 실행·가입·로그인,화면,,,basic_info_keyword_ambition,현행 유지,3종,,,확인,,,
onboarding_permission,첫 이용 · 접근 권한 안내,가입 후 첫 이용,화면,,,,추가,,3,onboarding_permission,제안 채택,auth_permission,,
onboarding_tutorial,첫 이용 · 튜토리얼,가입 후 첫 이용,화면,,,,추가,,19,tutorial_intro,제안 개명,onboarding_guide,,
onboarding_tutorial_complete,첫 이용 · 입장 영상,가입 후 첫 이용,화면,,,,추가,,18,onboarding_tutorial_complete,제안 채택,onboarding_welcome,,
pending_agreement_detail,갱신 약관 · 재동의,가입 후 첫 이용,화면,,,pending_agreement_detail,현행 유지,3종,7,personal_info_agreement,제안 개명,auth_agreement_update,,"AOS는 약관 웹 상세+동의 화면, iOS는 재동의 카드 팝업. 목적(개정 약관 재동의)이 같아 한 이름."
agreement_document,약관 · 전문 보기,가입 후 첫 이용,웹,,document_type,,추가(존재 확인),,4 20 170 171 172 175,personal_info_reconsent_document / setting_ad_info_agreement_document / setting_personal_info_document / setting_privacy_policy / setting_terms_of_service / signup_terms_document,통합 발송,support_agreement_detail,,어느 약관이든 같은 이름. document_type=signup_terms|privacy|privacy_reconsent|ad_info|terms_of_service|personal_info.
onboarding_cover_intro_profession,커버 소개 · 직업,가입 후 첫 이용,화면,핵심,,onboarding_cover_intro_profession,현행 유지(체류 추가),진입만→3종,25,profile_cover_onboarding,단계별 발송,profile_cover_form,커버 만들기 단계별 완주율,
onboarding_cover_intro_nickname,커버 소개 · 닉네임,가입 후 첫 이용,화면,,,onboarding_cover_intro_nickname,현행 유지(체류 추가),진입만→3종,25,profile_cover_onboarding,단계별 발송,,,
onboarding_cover_intro_ko_name,커버 소개 · 한글 이름,가입 후 첫 이용,화면,,,onboarding_cover_intro_ko_name,현행 유지(체류 추가),진입만→3종,25,profile_cover_onboarding,단계별 발송,,,
onboarding_cover_intro_tagline,커버 소개 · 한 줄 소개,가입 후 첫 이용,화면,,,onboarding_cover_intro_tagline,현행 유지(체류 추가),진입만→3종,25,profile_cover_onboarding,단계별 발송,,,
onboarding_cover_intro_media,커버 소개 · 미디어,가입 후 첫 이용,화면,,,onboarding_cover_intro_media,현행 유지(체류 추가),진입만→3종,25,profile_cover_onboarding,단계별 발송,,,
onboarding_cover_intro_profile_image,커버 소개 · 프로필 이미지,가입 후 첫 이용,화면,,,onboarding_cover_intro_profile_image,현행 유지(체류 추가),진입만→3종,25,profile_cover_onboarding,단계별 발송,,,iOS 25행(프로필 커버 만들기)은 딥링크 step= 값이 있는 단계형 화면이므로 단계마다 위 6개 이름을 발송합니다. 단계 구성이 다르면 없는 단계는 비웁니다.
profile_cover_edit,프로필 커버 · 수정,가입 후 첫 이용,화면,,,,추가(존재 확인),,28,profile_cover_edit,제안 채택,,,
profile_expression_onboarding,자기소개 · 만들기(첫 온보딩),가입 후 첫 이용,화면,,,,확인,,22,profile_expression_onboarding,제안 채택,profile_intro_form,,AOS는 basic_info_keyword_* 3단계로 나뉩니다. OS 간 비교는 구간(가입 후 첫 이용) 롤업으로 합니다.
profile_expression_edit,자기소개 · 수정,가입 후 첫 이용,화면,,,,추가(존재 확인),,23,profile_expression_edit,제안 채택,,,
my_onboarding_intro,MY 탭 · 온보딩 인트로(커버 미등록),가입 후 첫 이용,탭,,,,확인,,54,my_onboarding_intro,제안 채택,,,
home,홈 · 디스커버리 피드,디스커버리·발견,탭,핵심,,home,현행 유지,3종,30,home,현행 유지,home_discovery,"홈 방문·재방문, 홈에서 어디로 가는가",
discovery_creator_module,홈 · 크리에이터 모듈 전체보기,디스커버리·발견,화면,,,,해당 없음,,32,discovery_creator_module,제안 채택,home_creator_list,,
inspiration_list,영감 · 목록(딥링크),디스커버리·발견,화면,,,,확인,,33,inspiration_list,제안 채택,home_inspiration_feed,,
muse_comment_list,Muse 한 마디 · 목록,디스커버리·발견,화면,,,,확인,,31,muse_comment_list,제안 채택,,,
muse_comment_manage,Muse 한 마디 · 관리,디스커버리·발견,시트,,,,확인,,37,muse_comment_manage,제안 채택,,,
muse_comment_input,Muse 한 마디 · 작성·수정,디스커버리·발견,시트,,,,확인,,38,muse_comment_input,제안 채택,,,
portfolio_detail,포트폴리오 · 상세,디스커버리·발견,화면,핵심,screen_id=작업물 id,portfolio_detail,현행 유지,3종,35,portfolio_detail,현행 유지,portfolio_detail,"어떤 유입으로 작업물 상세에 오는가, 상세 조회 수",
inspiration_detail,영감 · 상세,디스커버리·발견,화면,핵심,screen_id=콘텐츠 id,inspiration_detail,현행 유지,3종,34,inspiration_detail,현행 유지,inspiration_detail,,
portfolio_comment_list,포트폴리오 · 댓글,디스커버리·발견,시트,,screen_id=작업물 id,,확인,,47 48 91,home_portfolio_comment / portfolio_detail_comment / profile_portfolio_comment,통합 발송,,,디스커버리 카드·상세·프로필 어디서 열든 같은 이름. 유입은 previous_screen으로 봅니다.
inspiration_comment_list,영감 · 댓글,디스커버리·발견,시트,,screen_id=콘텐츠 id,,확인,,43 44,home_inspiration_comment / inspiration_detail_comment,통합 발송,inspiration_comment_list,,
respect_select,리스펙트 · 한마디 선택,디스커버리·발견,시트,,,,추가,,49,portfolio_respect_phrase,제안 개명,respect_select,,팝업 형태지만 독립 선택 과업이라 화면으로 셉니다.
respect_list,리스펙트 · 보낸 사람 목록,디스커버리·발견,시트,,,,추가,,208 213,respect_list / respect_user_all,통합 발송,profile_respect_list,,
media_viewer,첨부 · 미디어 전체보기,디스커버리·발견,화면,,media_type=image|video|audio|pdf|youtube,,추가,,24 26 27 36 117 121 180 181 182 183 184 199 211,chat_image_preview / chat_media_player / portfolio_image_viewer / portfolio_pdf_viewer / profile_cover_image_viewer / profile_cover_video_player / profile_expression_image_viewer / upload_preview_audio / upload_preview_image / upload_preview_pdf / upload_preview_video / upload_preview_youtube / web_attachment_preview,통합 발송,media_viewer,,사진·영상·PDF·유튜브 전체보기와 업로드 첨부 미리보기를 하나로 셉니다. 어디서 열었는지는 previous_screen.
finder,파인더 · 탭 홈,파인더·검색,탭,핵심,,finder,현행 유지,3종,94,finder,현행 유지,,,
finder_search,파인더 · 검색 입력,파인더·검색,화면,핵심,,finder_search,현행 유지,3종,93,finder_search,현행 유지,finder_search,검색 시작 대비 결과 도달,
finder_result_creator,파인더 · 크리에이터 검색 결과,파인더·검색,화면,핵심,,finder_result_creator,현행 유지,3종,98,finder_result_creator,현행 유지,finder_result_creator,,
finder_result_portfolio,파인더 · 포트폴리오 검색 결과,파인더·검색,화면,핵심,,finder_result_portfolio,현행 유지,3종,97,finder_result_portfolio,현행 유지,finder_result_portfolio,,
finder_result_project,파인더 · 프로젝트 검색 결과,파인더·검색,화면,핵심,,finder_result_project,현행 유지,3종,99,finder_result_project,현행 유지,finder_result_project,,
finder_filter,파인더 · 필터,파인더·검색,시트,,filter_step=region|profession|tag(선택),,추가,,107 104 105 106,finder_filter / finder_filter_profession / finder_filter_region / finder_filter_tag,통합 발송,finder_filter,,필터 시트 안의 지역·직업·해시태그 추가 단계는 같은 화면. 필요하면 filter_step 파라미터.
discovery_recommend_keywords,추천 · Shuffle! 키워드 추천(웹),파인더·검색,웹,핵심,,discovery_recommend_keywords,현행 유지,3종,96,finder_shuffle,제안 개명,finder_keyword,,
shuffle_bundle,추천 · 키워드 묶음 결과,파인더·검색,화면,,,shuffle_bundle,현행 유지,3종,95,finder_shuffle_bundle,제안 개명,finder_shuffle_result,,
discovery_recommend_network,추천 · 인맥 둘러보기(웹),파인더·검색,웹,,,discovery_recommend_network,현행 유지,3종,115,network_browse,제안 개명,network_dial,,
user_detail,크리에이터 · 프로필(타인),다른 크리에이터 탐색,화면,핵심,screen_id=회원 uid · tab=portfolio|project|inspiration|intro,user_detail,현행 유지,3종,69 70 100,finder_creator_detail / profile_detail / profile_introduction,통합 발송,creator_profile,"타인 프로필 조회 수, 어디서 프로필로 오는가",검색 결과 페이저(100행)도 같은 화면. 좌우로 넘겨 회원이 바뀌면 다시 발송(AOS 현행 규칙). 소개 탭(70행)은 tab=intro.
member_profile_inspiration,크리에이터 · 인스퍼레이션 탭(현행 특례),다른 크리에이터 탐색,탭,,,member_profile_inspiration,현행 유지,3종,,,추가,creator_inspirations,,AOS가 이 탭만 별도 이름으로 발송 중입니다. 바꾸지 않고 iOS도 인스퍼레이션 탭 표시 시 같은 이름을 발송합니다. 다른 탭은 user_detail의 tab 파라미터.
relation_list,크리에이터 · 관계 목록(일촌·팔로워·팔로잉),다른 크리에이터 탐색,시트,,tab=first_connections|follower|following,,확인,,218,relation_follower / relation_following / relation_first_connections,통합 발송,,,타인의 관계 목록. 내 인맥(contacts_*)과 구분합니다.
first_connection_mutual,크리에이터 · 함께 아는 일촌,다른 크리에이터 탐색,시트,,,,확인,,219,first_connection_mutual,제안 채택,,,
knock_type_select,노크 · 용건 선택,다른 크리에이터 탐색,화면,,,,확인,,220,knock_type_select,제안 채택,knock_select,,AOS 8종 피커 구현 시 같은 이름.
knock_compose,노크 · 메시지 입력,다른 크리에이터 탐색,화면,,,,추가,,,,확인,knock_compose,,
report_reason,신고 · 사유 선택,다른 크리에이터 탐색,시트,,target_type=user|content|chat_room,,추가,,126 207 221,chat_room_report_reason / report_reason_content / report_reason_user,통합 발송,report_reason,,
report_detail_input,신고 · 상세 사유 입력,다른 크리에이터 탐색,화면,,target_type,,추가,,127 206,chat_room_report_detail / report_detail_input,통합 발송,support_report,,
my_profile_card,MY · 내 프로필 카드(탭 루트),마이·나를 소개하기,탭,핵심,,my_profile_card,현행 유지(체류 추가),진입만→3종,53,my_profile_card,현행 유지,my_profile,"MY 탭 방문, 내 프로필에서 무엇을 고치러 가는가",AOS는 MY 탭 진입 시 my_page와 my_profile_card가 함께 나가 화면 수가 부풀려집니다. my_page를 멈추고 이 이름 하나로 3종 발송합니다.
my_profile_preview,MY · 프로필 미리보기(웹),마이·나를 소개하기,웹,,,my_profile_preview,현행 유지,3종,57,my_profile_preview,제안 채택,profile_share_preview,,
visitor_today_bottom_sheet,MY · 오늘 방문자,마이·나를 소개하기,시트,,,visitor_today_bottom_sheet,현행 유지,3종,85,profile_today_visitor,제안 개명,profile_visitor_list,,
profile_collaboration_status,MY · 노크 수신 설정,마이·나를 소개하기,시트,,,,확인,,82,profile_collaboration_status,제안 채택,,,
my_info_management,내 정보 · 관리 홈,마이·나를 소개하기,화면,,,,추가,,75,basic_info_management,제안 개명,profile_edit_info_menu,,iOS 제안 basic_info_*는 AOS 현행 basic_info_*(가입 필수정보)와 키가 겹쳐 내 정보 수정 화면군은 my_info_* 접두어로 새로 짓습니다.
my_info_id,내 정보 · ID 변경,마이·나를 소개하기,화면,,,,추가,,55,basic_info_id,제안 개명,profile_edit_id,,
my_info_name,내 정보 · 이름 종류 선택,마이·나를 소개하기,시트,,,,해당 없음,,86,basic_info_name,제안 개명,profile_name_select,,
my_info_name_ko,내 정보 · 한글 이름,마이·나를 소개하기,화면,,,,추가,,72,basic_info_name_ko,제안 개명,profile_edit_name_ko,,
my_info_name_en,내 정보 · 영문 이름,마이·나를 소개하기,화면,,,,추가,,62,basic_info_name_en,제안 개명,profile_edit_name_en,,
my_info_profession,내 정보 · 직업 관리,마이·나를 소개하기,화면,,,,해당 없음,,65,basic_info_profession,제안 개명,profile_edit_profession,,
my_info_profession_select,내 정보 · 직업 선택,마이·나를 소개하기,화면,,,,추가,,78,basic_info_profession_select,제안 개명,profile_edit_profession_select,,
my_info_profession_direct,내 정보 · 직업 직접 추가,마이·나를 소개하기,시트,,,,해당 없음,,89,basic_info_profession_direct,제안 개명,profile_edit_profession_custom,,
my_info_signature_keyword,내 정보 · 시그니처 키워드,마이·나를 소개하기,화면,,,,추가,,61,basic_info_signature_keyword,보류(도달 불가),profile_edit_keyword_signature,,
my_info_signature_keyword_register,내 정보 · 시그니처 키워드 등록,마이·나를 소개하기,화면,,,,확인,,60,basic_info_signature_keyword_register,보류(도달 불가),,,
my_info_region,내 정보 · 활동 지역,마이·나를 소개하기,화면,,,,추가,,74,basic_info_region,제안 개명,profile_edit_region,,
my_info_region_global_city,내 정보 · 해외 도시 입력,마이·나를 소개하기,화면,,,,추가,,73,basic_info_region_global_city,제안 개명,profile_edit_region_global,,
my_info_email,내 정보 · 이메일 관리,마이·나를 소개하기,시트,,,,해당 없음,,87,basic_info_email,제안 개명,profile_email_manage,,
my_info_email_register,내 정보 · 이메일 입력,마이·나를 소개하기,화면,,,,추가,,76,basic_info_email_register,제안 개명,profile_edit_email,,
my_info_email_verify,내 정보 · 이메일 인증,마이·나를 소개하기,화면,,,,추가,,63,basic_info_email_verify,제안 개명,profile_edit_email_verify,,
my_info_phone,내 정보 · 전화번호 관리,마이·나를 소개하기,시트,,,,해당 없음,,88,basic_info_phone,제안 개명,profile_phone_manage,,
my_info_phone_register,내 정보 · 전화번호 입력,마이·나를 소개하기,화면,,,,추가,,64,basic_info_phone_register,제안 개명,profile_edit_phone,,
my_info_link,내 정보 · 링크 관리,마이·나를 소개하기,시트,,,,해당 없음,,83,basic_info_link,제안 개명,profile_link_manage,,
my_info_link_register,내 정보 · 링크 입력,마이·나를 소개하기,화면,,,,추가,,58,basic_info_link_register,제안 개명,profile_edit_link,,
my_info_birth_gender,내 정보 · 생년월일·성별,마이·나를 소개하기,시트,,,,해당 없음,,84,basic_info_birth_gender,제안 개명,profile_birth_gender,,
my_info_visibility,내 정보 · 개인정보 공개설정,마이·나를 소개하기,시트,,,,확인,,81,basic_info_visibility,제안 개명,,,
my_info_profile_image_register,내 정보 · 프로필 사진 등록,마이·나를 소개하기,화면,,,,확인,,80,basic_info_profile_image_register,보류(도달 불가),,,
register_email,계정 · 이메일 강제 등록,마이·나를 소개하기,화면,,,,확인,,77,register_email,제안 채택,,,
user_resume,커리어 · 이력 관리(내 이력서),마이·나를 소개하기,화면,,,user_resume,현행 유지,3종,66,resume_management,제안 개명,career_home,,이름은 타인 이력서처럼 읽히지만 내 이력 관리 화면입니다. 바꾸지 않고 라벨로 바로잡습니다.
resume_career_register,커리어 · 경력 입력,마이·나를 소개하기,화면,,,,추가,,56,resume_career_register,제안 채택,career_experience_form,,
resume_education_register,커리어 · 학력 입력,마이·나를 소개하기,화면,,,,추가,,71,resume_education_register,제안 채택,career_education_form,,
resume_awards_register,커리어 · 자격·수상 입력,마이·나를 소개하기,화면,,,,추가,,59,resume_awards_register,제안 채택,career_award_form,,
media_image_edit,첨부 · 이미지 편집(자르기·회전),마이·나를 소개하기,화면,,purpose=upload|profile_image|card_background,,추가,,179 200 201 215 216 224,profile_card_background_image_edit / profile_image_crop / profile_image_edit / upload_image_edit / web_profile_image_crop / web_profile_image_edit,통합 발송,media_image_edit,,
media_video_edit,첨부 · 동영상 편집(구간 자르기),마이·나를 소개하기,화면,,purpose,,추가,,214 217,background_video_edit / profile_card_background_video_crop,통합 발송,media_video_crop,,
portfolio_create,작업물 · 종류 선택(신규 진입),작업물 등록·수정,화면,핵심,,portfolio_create,현행 유지,3종,188,portfolio_create,통합 발송,upload_home,작성 진입 대비 완료,"iOS 188행(포트폴리오 작성)은 종류를 고르기 전에는 portfolio_create, 고른 뒤에는 유형별 *_portfolio_create를 발송합니다."
text_portfolio_create,작업물 · 텍스트 작성,작업물 등록·수정,화면,,,text_portfolio_create,현행 유지,3종,188,portfolio_create,단계별 발송,upload_portfolio,,
img_portfolio_create,작업물 · 이미지 작성,작업물 등록·수정,화면,핵심,,img_portfolio_create,현행 유지,3종,188,portfolio_create,단계별 발송,,,
video_portfolio_create,작업물 · 영상 작성,작업물 등록·수정,화면,,,video_portfolio_create,현행 유지,3종,188,portfolio_create,단계별 발송,,,
audio_portfolio_create,작업물 · 오디오 작성,작업물 등록·수정,화면,,,audio_portfolio_create,현행 유지,3종,188,portfolio_create,단계별 발송,,,
pdf_portfolio_create,작업물 · PDF 작성,작업물 등록·수정,화면,,,pdf_portfolio_create,현행 유지,3종,188,portfolio_create,단계별 발송,,,
youtube_portfolio_create,작업물 · 유튜브 작성,작업물 등록·수정,화면,,,youtube_portfolio_create,현행 유지,3종,188,portfolio_create,단계별 발송,,,
text_portfolio_edit,작업물 · 텍스트 수정,작업물 등록·수정,화면,,,text_portfolio_edit,현행 유지,3종,187,portfolio_edit,단계별 발송,,,iOS 187행(포트폴리오 수정)은 작업물 유형에 따라 6개 이름 중 하나를 발송합니다.
img_portfolio_edit,작업물 · 이미지 수정,작업물 등록·수정,화면,,,img_portfolio_edit,현행 유지,3종,187,portfolio_edit,단계별 발송,,,
video_portfolio_edit,작업물 · 영상 수정,작업물 등록·수정,화면,,,video_portfolio_edit,현행 유지,3종,187,portfolio_edit,단계별 발송,,,
audio_portfolio_edit,작업물 · 오디오 수정,작업물 등록·수정,화면,,,audio_portfolio_edit,현행 유지,3종,187,portfolio_edit,단계별 발송,,,
pdf_portfolio_edit,작업물 · PDF 수정,작업물 등록·수정,화면,,,pdf_portfolio_edit,현행 유지,3종,187,portfolio_edit,단계별 발송,,,
youtube_portfolio_edit,작업물 · 유튜브 수정,작업물 등록·수정,화면,,,youtube_portfolio_edit,현행 유지,3종,187,portfolio_edit,단계별 발송,,,
project_card_create,프로젝트 카드 · 작성,작업물 등록·수정,화면,핵심,,project_card_create,현행 유지,3종,190,project_create,제안 개명,upload_project,,
project_card_edit,프로젝트 카드 · 수정,작업물 등록·수정,화면,,,project_card_edit,현행 유지,3종,189,project_edit,제안 개명,,,
inspiration_create,영감 · 작성,작업물 등록·수정,화면,핵심,,inspiration_create,현행 유지,3종,186,inspiration_create,제안 채택,upload_inspiration,,
inspiration_edit,영감 · 수정,작업물 등록·수정,화면,,,inspiration_edit,현행 유지,3종,185,inspiration_edit,제안 채택,,,
chatty,채티 · 목록(탭),채티·소통,탭,핵심,tab=chat|lounge|project,chatty,현행 유지,3종,108 109 110 111,chatty / chatty_chat / chatty_lounge / chatty_project,통합 발송,chat_list_direct,"채티 탭 방문, 어떤 대화방으로 들어가는가",채팅·라운지·프로젝트 하위탭은 같은 목록의 필터로 보고 tab 파라미터로 나눕니다. 탭 전환마다 tab 값을 바꿔 다시 발송합니다.
chat_room_direct,채티 · 1:1 대화방,채티·소통,화면,핵심,screen_id=roomId,,추가,,118,chat_room,통합 발송,chat_direct_room,대화방 유형별 진입·체류(경로 분석에서 갈라 본다),AOS는 대화방에 이름이 없다(탭까지만). 대화방 유형은 경로 분석에서 갈라 봐야 하므로 이름으로 나눕니다.
chat_room_lounge,채티 · 라운지 대화방,채티·소통,화면,,screen_id=roomId,,추가,,118,chat_room,통합 발송,chat_lounge_room,,
chat_room_project,채티 · 프로젝트 대화방,채티·소통,화면,핵심,screen_id=roomId,,추가,,118,chat_room,통합 발송,chat_project_room,,
chat_room_team,채티 · 팀 대화방,채티·소통,화면,,screen_id=roomId,,추가,,118,chat_room,통합 발송,chat_team_room,,
chat_room_menu,채티 · 대화방 메뉴,채티·소통,화면,,room_type=direct|lounge|project|team,,추가,,119,chat_room_menu,제안 채택,chat_direct_manage,,
lounge_create,라운지 · 만들기,채티·소통,화면,,,,추가,,112,lounge_create,제안 채택,chat_lounge_form,,
lounge_edit,라운지 · 수정,채티·소통,화면,,,,추가,,113,lounge_edit,제안 채택,,,
notification_center,알림 · 내 알림,채티·소통,화면,핵심,,,추가,,114,alarm_center,제안 개명,notification_home,알림에서 어디로 가는가,
contacts_first_connections,인맥 · 일촌,채티·소통,탭,핵심,,contacts_first_connections,현행 유지(체류 추가),진입만→3종,134,contacts_first_connections,현행 유지,contact_first,,
contacts_follower,인맥 · 팔로워,채티·소통,탭,,,contacts_follower,현행 유지(체류 추가),진입만→3종,135,contacts_follower,현행 유지,contact_follower,,
contacts_following,인맥 · 팔로잉,채티·소통,탭,,,contacts_following,현행 유지(체류 추가),진입만→3종,136,contacts_following,현행 유지,contact_following,,
contacts_my_club,인맥 · 마이클럽,채티·소통,탭,,,,확인,,137,contacts_my_club,제안 채택,,,
contacts_search,인맥 · 검색,채티·소통,화면,,tab=first_connections|follower|following,,추가,,130 131 132 133,contacts_search / contacts_search_result_first_connections / contacts_search_result_follower / contacts_search_result_following,통합 발송,contact_search,,
project_detail,프로젝트 · 상세,프로젝트·팀 협업,화면,핵심,screen_id=프로젝트 id,project_detail,현행 유지,3종,68,project_detail,현행 유지,project_detail,,
project_card_list,프로젝트 · 목록(딥링크),프로젝트·팀 협업,화면,,,,추가,,67,project_card_list,제안 채택,project_list,,
project_application_compose,프로젝트 · 지원 작성,프로젝트·팀 협업,화면,,,,추가,,79,project_application_compose,제안 채택,project_apply,,
project_applicants,프로젝트 · 지원자 목록,프로젝트·팀 협업,화면,,,,추가,,116,project_applicants,제안 채택,project_applicants,,
proposal_detail,협업 제안 · 상세(웹),프로젝트·팀 협업,웹,핵심,,proposal_detail,현행 유지,3종,,,확인,proposal_detail,,iOS는 제안 상세가 web_page 안에 묻히지 않도록 전용 이름으로 발송합니다.
proposal_create,협업 제안 · 작성(웹),프로젝트·팀 협업,웹,,,proposal_create,이름만→발송,3종,203,proposal_edit,통합 발송,proposal_form,,AOS는 이름만 있고 screen_view가 없어 조회수가 안 잡힙니다. iOS 203행(잠금 바텀시트 웹뷰)은 작성/수정 모드에 따라 두 이름.
proposal_edit,협업 제안 · 수정(웹),프로젝트·팀 협업,웹,,,proposal_edit,이름만→발송,3종,203,proposal_edit,통합 발송,,,
contacts_team,팀 · 팀 홈(AOS 현행),프로젝트·팀 협업,화면,,,contacts_team,현행 유지,3종,,,해당 없음,team_list,,AOS 팀 홈과 iOS team_list가 같은 화면으로 보이나 두 이름이 이미 발송 중입니다. 코드는 두지 않고 대시보드 별칭으로 합칩니다. 다음 큰 개편 때 하나로 수렴(팀 결정).
team_list,팀 · 내 팀과 합류 요청(iOS 현행),프로젝트·팀 협업,화면,핵심,,,해당 없음,,141,team_list,현행 유지,team_list,,
team_detail,팀 · 상세,프로젝트·팀 협업,화면,핵심,screen_id=teamId · tab=portfolio|introduction|member,,추가,,142 143 144,team_detail / team_detail_introduction / team_detail_member,통합 발송,team_portfolio,,
team_create,팀 · 만들기,프로젝트·팀 협업,화면,,,,추가,,139,team_create,제안 채택,team_form,,
team_edit,팀 · 수정,프로젝트·팀 협업,화면,,,,추가,,145,team_edit,제안 채택,,,
team_invite,팀 · 멤버 초대,프로젝트·팀 협업,화면,,,,추가,,140,team_invite,제안 채택,team_member_invite,,
my_page_menu,설정 · 홈,활동·계정 관리,화면,핵심,,my_page_menu,현행 유지,3종,162,setting_home,제안 개명,settings_home,,설정 홈이지만 AOS 현행 이름이 my_page_menu라 그대로 쓰고 라벨로 바로잡습니다.
setting_account,설정 · 계정,활동·계정 관리,화면,,,,추가,,151,setting_account,제안 채택,settings_account,,
setting_notification,설정 · 알림,활동·계정 관리,화면,,,,추가,,163,setting_notification,제안 채택,settings_notification,,
setting_visibility,설정 · 공개 범위,활동·계정 관리,화면,,,,추가,,155,setting_visibility,제안 채택,settings_visibility,,
setting_visibility_profile,설정 · 프로필 공개 범위,활동·계정 관리,화면,,,,추가,,167,setting_visibility_profile,제안 채택,settings_visibility_profile,,
setting_blocked_members,설정 · 차단한 사용자,활동·계정 관리,화면,,,,추가,,165,setting_blocked_members,제안 채택,settings_blocked_users,,
setting_change_password,설정 · 비밀번호 변경,활동·계정 관리,화면,,,,추가,,173,setting_change_password,제안 채택,settings_password_change,,
setting_2fa,설정 · 2단계 인증,활동·계정 관리,화면,,,,추가,,146,setting_2fa,제안 채택,settings_2fa,,
setting_2fa_email,설정 · 인증 이메일 관리,활동·계정 관리,화면,,,,추가,,148,setting_2fa_email,제안 채택,settings_2fa_email,,
setting_2fa_email_verify,설정 · 인증 이메일 확인,활동·계정 관리,화면,,,,추가,,168,setting_2fa_email_verify,제안 채택,settings_2fa_verify,,
setting_2fa_completed,설정 · 2단계 인증 완료,활동·계정 관리,화면,,,,추가,,147,setting_2fa_completed,제안 채택,settings_2fa_complete,,
setting_personal_info_agreement,설정 · 개인정보 이용 동의·철회,활동·계정 관리,화면,,agree=true|false,,해당 없음,,149 150,setting_personal_info_agree / setting_personal_info_disagree,통합 발송,settings_privacy_agreement,,
