No,화면명(한글),화면 유형,iOS 제안·현행명,GA 현황,도달,판정,확정 screen_name,분류,사유·대응
52,콘텐츠 상세 페이저 (스와이프 브라우징 컨테이너),push,-,제안,도달 가능,제외,,컨테이너,안에 든 화면이 이름을 냅니다. 컨테이너는 이름을 내지 않습니다.
53,MY 탭 (내 프로필 루트),탭 루트,my_profile_card,현행,도달 가능,채택,my_profile_card,현행 유지,
54,MY 탭 온보딩 인트로 (커버 미선택 회원),탭 루트,my_onboarding_intro,제안,도달 가능,채택,my_onboarding_intro,제안 채택,
55,ID 변경,push,basic_info_id,제안,도달 가능,채택,my_info_id,제안 개명,basic_info_id → my_info_id
56,경력 추가 · 수정,push,resume_career_register,제안,도달 가능,채택,resume_career_register,제안 채택,
57,내 프로필 미리보기,push,my_profile_preview,제안,도달 가능,채택,my_profile_preview,제안 채택,
58,링크 등록,push,basic_info_link_register,제안,도달 가능,채택,my_info_link_register,제안 개명,basic_info_link_register → my_info_link_register
59,수상 · 자격 추가 · 수정,push,resume_awards_register,제안,도달 가능,채택,resume_awards_register,제안 채택,
60,시그니처 키워드 등록,push,basic_info_signature_keyword_register,제안,도달 불가,채택,my_info_signature_keyword_register,보류(도달 불가),도달 불가 화면. 이름만 예약하고 발송하지 않습니다.
61,시그니처 키워드 목록,push,basic_info_signature_keyword,제안,도달 불가,채택,my_info_signature_keyword,보류(도달 불가),도달 불가 화면. 이름만 예약하고 발송하지 않습니다.
62,영문 이름 입력,push,basic_info_name_en,제안,도달 가능,채택,my_info_name_en,제안 개명,basic_info_name_en → my_info_name_en
63,이메일 인증번호 입력,push,basic_info_email_verify,제안,도달 가능,채택,my_info_email_verify,제안 개명,basic_info_email_verify → my_info_email_verify
64,전화번호 입력,push,basic_info_phone_register,제안,도달 가능,채택,my_info_phone_register,제안 개명,basic_info_phone_register → my_info_phone_register
65,직업 · 전문분야 목록,push,basic_info_profession,제안,도달 가능,채택,my_info_profession,제안 개명,basic_info_profession → my_info_profession
66,커리어 관리,push,resume_management,제안,도달 가능,채택,user_resume,제안 개명,resume_management → user_resume
67,프로젝트 카드 목록,push,project_card_list,제안,딥링크 전용,채택,project_card_list,제안 채택,
68,프로젝트 카드 상세,push,project_detail,현행,도달 가능,채택,project_detail,현행 유지,
69,프로필 상세 (다른 사용자),push,profile_detail,제안,도달 가능,채택,user_detail,통합 발송,→ user_detail
70,프로필 소개 탭 (프로필 카드 세그먼트 4번째 탭),push,profile_introduction,제안,도달 가능,채택,user_detail,통합 발송,→ user_detail
71,학력 추가 · 수정,push,resume_education_register,제안,도달 가능,채택,resume_education_register,제안 채택,
72,한글 이름 입력,push,basic_info_name_ko,제안,도달 가능,채택,my_info_name_ko,제안 개명,basic_info_name_ko → my_info_name_ko
73,해외 도시 직접 입력,push,basic_info_region_global_city,제안,도달 가능,채택,my_info_region_global_city,제안 개명,basic_info_region_global_city → my_info_region_global_city
74,활동 지역 (기본 정보 관리),push,basic_info_region,제안,도달 가능,채택,my_info_region,제안 개명,basic_info_region → my_info_region
75,기본 정보 관리,fullScreenCover,basic_info_management,제안,도달 가능,채택,my_info_management,제안 개명,basic_info_management → my_info_management
76,연락 이메일 입력,fullScreenCover,basic_info_email_register,제안,도달 가능,채택,my_info_email_register,제안 개명,basic_info_email_register → my_info_email_register
77,이메일 등록 (계정 이메일 미보유 강제 등록),fullScreenCover,register_email,제안,도달 가능,채택,register_email,제안 채택,
78,직업 · 전문분야 선택,fullScreenCover,basic_info_profession_select,제안,도달 가능,채택,my_info_profession_select,제안 개명,basic_info_profession_select → my_info_profession_select
79,프로젝트 지원 작성,fullScreenCover,project_application_compose,제안,도달 가능,채택,project_application_compose,제안 채택,
80,프로필 사진 등록(사진 선택 대기),fullScreenCover,basic_info_profile_image_register,제안,도달 불가,채택,my_info_profile_image_register,보류(도달 불가),도달 불가 화면. 이름만 예약하고 발송하지 않습니다.
81,개인정보 공개설정 시트,sheet,basic_info_visibility,제안,도달 가능,채택,my_info_visibility,제안 개명,basic_info_visibility → my_info_visibility
82,노크 수신 설정 바텀시트,sheet,profile_collaboration_status,제안,도달 가능,채택,profile_collaboration_status,제안 채택,
83,링크 관리 시트,sheet,basic_info_link,제안,도달 가능,채택,my_info_link,제안 개명,basic_info_link → my_info_link
84,생년월일 · 성별,sheet,basic_info_birth_gender,제안,도달 가능,채택,my_info_birth_gender,제안 개명,basic_info_birth_gender → my_info_birth_gender
85,오늘 방문한 사용자 바텀시트,sheet,profile_today_visitor,제안,도달 가능,채택,visitor_today_bottom_sheet,제안 개명,profile_today_visitor → visitor_today_bottom_sheet
86,이름 언어 선택 시트,sheet,basic_info_name,제안,도달 가능,채택,my_info_name,제안 개명,basic_info_name → my_info_name
87,이메일 관리 시트,sheet,basic_info_email,제안,도달 가능,채택,my_info_email,제안 개명,basic_info_email → my_info_email
88,전화번호 관리 시트,sheet,basic_info_phone,제안,도달 가능,채택,my_info_phone,제안 개명,basic_info_phone → my_info_phone
89,직업 직접 추가,sheet,basic_info_profession_direct,제안,도달 가능,채택,my_info_profession_direct,제안 개명,basic_info_profession_direct → my_info_profession_direct
90,프로필 사진 변경 시트,sheet,basic_info_profile_image,제안,도달 가능,제외,,옵션(더보기) 시트,선택지 메뉴. 고른 행동은 행동 이벤트로 셉니다.
91,프로필 상세 포트폴리오 댓글 바텀시트,sheet,profile_portfolio_comment,제안,도달 가능,채택,portfolio_comment_list,통합 발송,→ portfolio_comment_list
92,활동 지역 (프로필 상세 바텀시트),sheet,profile_activity_region,제안,도달 가능,제외,,정보 표시 시트,읽기만 하는 짧은 정보. 과업이 없습니다.
93,파인더 검색 입력 화면 (최근 검색어·최근 본 크리에이터·인기 검색어·추천 카테고리),탭 루트,finder_search,현행,도달 가능,채택,finder_search,현행 유지,
94,파인더 탭 (검색 홈),탭 루트,finder,현행,도달 가능,채택,finder,현행 유지,
95,Shuffle 키워드 묶음 목록,push,finder_shuffle_bundle,제안,딥링크 전용,채택,shuffle_bundle,제안 개명,finder_shuffle_bundle → shuffle_bundle
96,Shuffle! 키워드 추천,push,finder_shuffle,제안,도달 가능,채택,discovery_recommend_keywords,제안 개명,finder_shuffle → discovery_recommend_keywords
97,검색 결과 - 작업물(포트폴리오) 탭,push,finder_result_portfolio,현행,도달 가능,채택,finder_result_portfolio,현행 유지,
98,검색 결과 - 크리에이터 탭,push,finder_result_creator,현행,도달 가능,채택,finder_result_creator,현행 유지,
99,검색 결과 - 프로젝트 탭,push,finder_result_project,현행,도달 가능,채택,finder_result_project,현행 유지,
100,검색 결과 크리에이터 프로필 페이저 (좌우로 넘겨 보는 프로필),push,finder_creator_detail,제안,도달 가능,채택,user_detail,통합 발송,→ user_detail
101,작업물 검색 결과 정렬 바텀시트,sheet,finder_result_portfolio_sort,제안,도달 가능,제외,,정렬·첨부·메뉴 시트,같은 화면의 보조 조작. 화면이 바뀌지 않습니다.
102,크리에이터 검색 결과 정렬 바텀시트,sheet,finder_result_creator_sort,제안,도달 가능,제외,,정렬·첨부·메뉴 시트,같은 화면의 보조 조작. 화면이 바뀌지 않습니다.
103,프로젝트 검색 결과 정렬 바텀시트,sheet,finder_result_project_sort,제안,도달 가능,제외,,정렬·첨부·메뉴 시트,같은 화면의 보조 조작. 화면이 바뀌지 않습니다.
104,필터 > 지역 추가,push,finder_filter_region,제안,도달 가능,채택,finder_filter,통합 발송,→ finder_filter
105,필터 > 직업 추가,push,finder_filter_profession,제안,도달 가능,채택,finder_filter,통합 발송,→ finder_filter
106,필터 > 해시태그 추가,push,finder_filter_tag,제안,도달 가능,채택,finder_filter,통합 발송,→ finder_filter
107,크리에이터·포트폴리오·프로젝트 필터 시트,sheet,finder_filter,제안,도달 가능,채택,finder_filter,통합 발송,→ finder_filter
108,채티 - 라운지 목록,탭 루트,chatty_lounge,제안,도달 가능,채택,chatty,통합 발송,→ chatty
109,채티 - 채팅 목록 (탭 기본),탭 루트,chatty_chat,제안,도달 가능,채택,chatty,통합 발송,→ chatty
110,채티 - 프로젝트 목록,탭 루트,chatty_project,제안,도달 가능,채택,chatty,통합 발송,→ chatty
111,채티 탭,탭 루트,chatty,제안,도달 가능,채택,chatty,통합 발송,→ chatty
112,라운지 만들기,push,lounge_create,제안,도달 가능,채택,lounge_create,제안 채택,
113,라운지 수정,push,lounge_edit,제안,도달 가능,채택,lounge_edit,제안 채택,
114,알림 센터,push,alarm_center,제안,도달 가능,채택,notification_center,제안 개명,alarm_center → notification_center
115,인맥 둘러보기,push,network_browse,제안,도달 가능,채택,discovery_recommend_network,제안 개명,network_browse → discovery_recommend_network
116,지원자 리스트,push,project_applicants,제안,도달 가능,채택,project_applicants,제안 채택,
117,채팅 이미지 뷰어,push,chat_image_preview,제안,도달 가능,채택,media_viewer,통합 발송,→ media_viewer
118,채팅방,push,chat_room,제안,도달 가능,채택,chat_room_direct · chat_room_lounge · chat_room_project · chat_room_team,유형별 발송,"→ chat_room_direct, chat_room_lounge, chat_room_project, chat_room_team"
119,채팅방 메뉴,push,chat_room_menu,제안,도달 가능,채택,chat_room_menu,제안 채택,
120,채티 만들기 패널 (새 채팅·라운지 만들기·프로젝트 만들기),fullScreenCover,chatty_create_menu,제안,도달 가능,제외,,정렬·첨부·메뉴 시트,같은 화면의 보조 조작. 화면이 바뀌지 않습니다.
121,채팅 미디어 전체화면 재생 (동영상·오디오),fullScreenCover,chat_media_player,제안,도달 가능,채택,media_viewer,통합 발송,→ media_viewer
122,라운지 커버 사진 선택 (시스템 피커),sheet,lounge_cover_photo_picker,제안,도달 가능,제외,,시스템 피커,OS가 그리는 사진·파일·메일 선택기. 앱 화면이 아닙니다.
123,채팅 첨부 — 동영상 선택 (시스템 피커),sheet,chat_video_picker,제안,도달 가능,제외,,시스템 피커,OS가 그리는 사진·파일·메일 선택기. 앱 화면이 아닙니다.
124,채팅 첨부 — 오디오 파일 선택 (시스템 파일 피커),sheet,chat_audio_picker,제안,도달 가능,제외,,시스템 피커,OS가 그리는 사진·파일·메일 선택기. 앱 화면이 아닙니다.
125,채팅 첨부 — 이미지 선택 (시스템 피커),sheet,chat_image_picker,제안,도달 가능,제외,,시스템 피커,OS가 그리는 사진·파일·메일 선택기. 앱 화면이 아닙니다.
126,채팅방 신고 사유 선택 바텀시트,sheet,chat_room_report_reason,제안,도달 가능,채택,report_reason,통합 발송,→ report_reason
127,채팅방 신고 상세 입력 모달,sheet,chat_room_report_detail,제안,도달 가능,채택,report_detail_input,통합 발송,→ report_detail_input
128,채팅방 첨부 바텀시트 (이미지·동영상·오디오),sheet,chat_attachment,제안,도달 가능,제외,,정렬·첨부·메뉴 시트,같은 화면의 보조 조작. 화면이 바뀌지 않습니다.
129,라운지 만들기 완료 팝업,팝업,lounge_create_complete,제안,도달 가능,제외,,유도·완료 팝업,행동의 결과 알림. 완료는 행동 이벤트로 이미 잡힙니다.
130,인맥 검색 (검색 입력 모드),push,contacts_search,제안,도달 가능,채택,contacts_search,통합 발송,→ contacts_search
131,인맥 검색 결과 - 일촌,push,contacts_search_result_first_connections,제안,도달 가능,채택,contacts_search,통합 발송,→ contacts_search
132,인맥 검색 결과 - 팔로워,push,contacts_search_result_follower,제안,도달 가능,채택,contacts_search,통합 발송,→ contacts_search
133,인맥 검색 결과 - 팔로잉,push,contacts_search_result_following,제안,도달 가능,채택,contacts_search,통합 발송,→ contacts_search
134,인맥 관리 - 일촌 탭,push,contacts_first_connections,현행,도달 가능,채택,contacts_first_connections,현행 유지,
135,인맥 관리 - 팔로워 탭,push,contacts_follower,현행,도달 가능,채택,contacts_follower,현행 유지,
136,인맥 관리 - 팔로잉 탭,push,contacts_following,현행,도달 가능,채택,contacts_following,현행 유지,
137,인맥 관리 - 마이클럽 탭,push,contacts_my_club,제안,도달 가능,채택,contacts_my_club,제안 채택,
138,팀 더보기 바텀시트 (알림/팔로우/신고),sheet,contacts_team_actions,제안,도달 가능,제외,,옵션(더보기) 시트,선택지 메뉴. 고른 행동은 행동 이벤트로 셉니다.
139,팀 만들기,push,team_create,제안,도달 가능,채택,team_create,제안 채택,
140,팀 멤버 초대,push,team_invite,제안,도달 가능,채택,team_invite,제안 채택,
141,팀 목록 (내 팀 · 합류 요청 인박스),push,team_list,현행,도달 가능,채택,team_list,현행 유지,
142,팀 상세 (팀 페이지),push,team_detail,제안,도달 가능,채택,team_detail,통합 발송,→ team_detail
143,팀 상세 — 멤버 탭,push,team_detail_member,제안,도달 가능,채택,team_detail,통합 발송,→ team_detail
144,팀 상세 — 소개 탭,push,team_detail_introduction,제안,도달 가능,채택,team_detail,통합 발송,→ team_detail
145,팀 수정 (팀 해체 진입점),push,team_edit,제안,도달 가능,채택,team_edit,제안 채택,
146,2단계 인증 (2FA),push,setting_2fa,제안,도달 가능,채택,setting_2fa,제안 채택,
147,2단계 인증 설정 완료,push,setting_2fa_completed,제안,도달 가능,채택,setting_2fa_completed,제안 채택,
148,2단계 인증(2FA) 추가 — 이메일 인증 관리,push,setting_2fa_email,제안,도달 가능,채택,setting_2fa_email,제안 채택,
149,개인정보 이용 동의 철회,push,setting_personal_info_disagree,제안,딥링크 전용,채택,setting_personal_info_agreement,통합 발송,→ setting_personal_info_agreement
150,개인정보 이용 동의하기,push,setting_personal_info_agree,제안,딥링크 전용,채택,setting_personal_info_agreement,통합 발송,→ setting_personal_info_agreement
151,계정,push,setting_account,제안,도달 가능,채택,setting_account,제안 채택,
152,계정 삭제 비밀번호 확인,push,setting_account_delete_password,제안,도달 가능,채택,setting_account_delete_password,제안 채택,
153,계정 삭제 최종 확인,push,setting_account_delete_confirm,제안,도달 가능,채택,setting_account_delete_confirm,제안 채택,
154,고객센터,push,setting_customer_service,제안,도달 가능,채택,setting_customer_service,제안 채택,
155,공개 범위,push,setting_visibility,제안,도달 가능,채택,setting_visibility,제안 채택,
156,내 댓글 및 답글,push,setting_contents_comments,제안,도달 가능,채택,setting_contents_comments,제안 채택,
157,리스펙트한 포트폴리오,push,setting_contents_respected,제안,도달 가능,채택,setting_contents_respected,제안 채택,
158,북마크 — 크리에이터 탭,push,bookmark_creator,현행,도달 가능,채택,bookmark_creator,현행 유지,
159,북마크 — 포트폴리오 탭,push,bookmark_portfolio,현행,도달 가능,채택,bookmark_portfolio,현행 유지,
160,비밀번호 재설정 — 새 비밀번호 입력,push,setting_reset_password,제안,도달 가능,채택,reset_password_new,제안 개명,setting_reset_password → reset_password_new
161,서비스 동의,push,setting_service_agreement,제안,도달 가능,채택,service_agreement,제안 개명,setting_service_agreement → service_agreement
162,설정 홈,push,setting_home,제안,도달 가능,채택,my_page_menu,제안 개명,setting_home → my_page_menu
163,알림 설정,push,setting_notification,제안,도달 가능,채택,setting_notification,제안 채택,
164,좋아요한 콘텐츠,push,setting_contents_liked,제안,도달 가능,채택,setting_contents_liked,제안 채택,
165,차단한 사용자,push,setting_blocked_members,제안,도달 가능,채택,setting_blocked_members,제안 채택,
166,콘텐츠,push,setting_contents,제안,도달 가능,채택,setting_contents,제안 채택,
167,프로필 공개 범위,push,setting_visibility_profile,제안,도달 가능,채택,setting_visibility_profile,제안 채택,
168,2FA 이메일 인증번호 입력,fullScreenCover,setting_2fa_email_verify,제안,도달 가능,채택,setting_2fa_email_verify,제안 채택,
169,Muse 특권 안내 (웹뷰),fullScreenCover,setting_muse_privileges,제안,도달 가능,채택,setting_muse_privileges,제안 채택,
170,개인정보 수집ㆍ이용 안내 문서,fullScreenCover,setting_personal_info_document,제안,딥링크 전용,채택,agreement_document,통합 발송,→ agreement_document
171,개인정보 처리방침 전문,fullScreenCover,setting_privacy_policy,제안,도달 가능,채택,agreement_document,통합 발송,→ agreement_document
172,광고성 정보 수신 동의 안내 문서,fullScreenCover,setting_ad_info_agreement_document,제안,도달 가능,채택,agreement_document,통합 발송,→ agreement_document
173,비밀번호 변경,fullScreenCover,setting_change_password,제안,도달 가능,채택,setting_change_password,제안 채택,
174,비밀번호 재설정 — 이메일 인증번호 입력,fullScreenCover,setting_reset_password_verify_email,제안,도달 가능,채택,reset_password_verify,제안 개명,setting_reset_password_verify_email → reset_password_verify
175,이용 약관 전문,fullScreenCover,setting_terms_of_service,제안,도달 가능,채택,agreement_document,통합 발송,→ agreement_document
176,탈퇴 사유 직접 입력 (기타),fullScreenCover,setting_account_delete_reason_input,제안,도달 가능,채택,setting_account_delete_reason,통합 발송,→ setting_account_delete_reason
177,이메일 문의 작성 (시스템 메일 작성기),sheet,setting_customer_service_email,제안,도달 가능,제외,,시스템 피커,OS가 그리는 사진·파일·메일 선택기. 앱 화면이 아닙니다.
178,회원 탈퇴 사유 선택 (바텀시트),sheet,setting_account_delete_reason,제안,도달 가능,채택,setting_account_delete_reason,통합 발송,→ setting_account_delete_reason
179,업로드 이미지 편집(크롭·비율),fullScreenCover,upload_image_edit,제안,도달 가능,채택,media_image_edit,통합 발송,→ media_image_edit
180,업로드 첨부 PDF 미리보기,fullScreenCover,upload_preview_pdf,제안,도달 가능,채택,media_viewer,통합 발송,→ media_viewer
181,업로드 첨부 동영상 미리보기,fullScreenCover,upload_preview_video,제안,도달 가능,채택,media_viewer,통합 발송,→ media_viewer
182,업로드 첨부 오디오 재생,fullScreenCover,upload_preview_audio,제안,도달 가능,채택,media_viewer,통합 발송,→ media_viewer
183,업로드 첨부 유튜브 미리보기,fullScreenCover,upload_preview_youtube,제안,도달 가능,채택,media_viewer,통합 발송,→ media_viewer
184,업로드 첨부 이미지 미리보기,fullScreenCover,upload_preview_image,제안,도달 가능,채택,media_viewer,통합 발송,→ media_viewer
185,영감 수정,fullScreenCover,inspiration_edit,제안,도달 가능,채택,inspiration_edit,제안 채택,
186,영감 작성,fullScreenCover,inspiration_create,제안,도달 가능,채택,inspiration_create,제안 채택,
187,포트폴리오 수정,fullScreenCover,portfolio_edit,제안,도달 가능,채택,text_portfolio_edit · img_portfolio_edit · video_portfolio_edit · audio_portfolio_edit · pdf_portfolio_edit · youtube_portfolio_edit,단계별 발송,"→ text_portfolio_edit, img_portfolio_edit, video_portfolio_edit, audio_portfolio_edit, pdf_portfolio_edit, youtube_portfolio_edit"
188,포트폴리오 작성,fullScreenCover,portfolio_create,제안,도달 가능,채택,portfolio_create · text_portfolio_create · img_portfolio_create · video_portfolio_create · audio_portfolio_create · pdf_portfolio_create · youtube_portfolio_create,단계별 발송,"→ portfolio_create, text_portfolio_create, img_portfolio_create, video_portfolio_create, audio_portfolio_create, pdf_portfolio_create, youtube_portfolio_create"
189,프로젝트 수정,fullScreenCover,project_edit,제안,도달 가능,채택,project_card_edit,제안 개명,project_edit → project_card_edit
190,프로젝트 작성,fullScreenCover,project_create,제안,도달 가능,채택,project_card_create,제안 개명,project_create → project_card_create
191,업로드 PDF 파일 선택,sheet,upload_media_picker_pdf,제안,도달 가능,제외,,시스템 피커,OS가 그리는 사진·파일·메일 선택기. 앱 화면이 아닙니다.
192,업로드 동영상 선택(시스템 피커),sheet,upload_media_picker_video,제안,도달 가능,제외,,시스템 피커,OS가 그리는 사진·파일·메일 선택기. 앱 화면이 아닙니다.
193,업로드 사진 선택(시스템 피커),sheet,upload_media_picker_photo,제안,도달 가능,제외,,시스템 피커,OS가 그리는 사진·파일·메일 선택기. 앱 화면이 아닙니다.
194,업로드 오디오 파일 선택,sheet,upload_media_picker_audio,제안,도달 가능,제외,,시스템 피커,OS가 그리는 사진·파일·메일 선택기. 앱 화면이 아닙니다.
195,웹뷰 전체화면 (로그인 후 openWeb),push,web_page,제안,도달 가능,채택,web_page,통합 발송,→ web_page
196,웹뷰 전체화면 — 로그인 전(가입 스택),push,join_web,제안,딥링크 전용,채택,web_page,통합 발송,→ web_page
197,"클럽 대기 랜딩 (웹, lineup/club/<des>)",push,club_waiting_web,제안,도달 가능,채택,club_waiting_web,제안 채택,
198,"클럽 입장 랜딩 (웹, lineup/club-entry)",push,club_entry_web,제안,도달 가능,채택,club_entry_web,제안 채택,
