source_id,platform,original_name,original_label,original_description,original_type,original_collection,original_reachability,source_context,classification,canonical_names,child_dispatch_names,rule_ids,reason,original_sha256
IOS-011,ios,signup_password,비밀번호 설정 / 재설정 입력,"가입이나 비밀번호 재설정 과정에서 새 비밀번호를 정하고 한 번 더 확인 입력하는 화면으로, 8자 이상·문자 종류 조합 같은 조건 충족 여부를 입력하는 동안 알려 준다. 이메일 인증번호를 통과해야 들어오고, 가입이면 사용자 ID 만들기로 이어지며 재설정이면 이메일 로그인으로 되돌아간다.",push,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 11, ""excel_row"": 12}",screen,signup_password;reset_password_new,,S1,signup_password: 새 계정의 비밀번호를 정하는 가입 단계입니다. 같은 입력 화면을 재설정에 쓰면 reset_password_new를 보내 가입 전환과 계정 복구가 섞이지 않게 합니다. reset_password_new: 계정 복구를 위해 새 비밀번호를 확정합니다. 현재 비밀번호 확인부터 시작하는 설정의 비밀번호 변경과 구분합니다.,9e49f17951d7ba23b5bd4251ead5a51338230dc99a1811a48a1f3aa642657dc1
IOS-012,ios,signup_user_id,사용자 ID 만들기,"프로필에 표시되고 다른 사람이 찾을 때 쓰는 아이디를 정하는 가입 단계로, 입력하는 동안 쓸 수 있는 아이디인지 확인해 준다. 소셜 가입과 이메일 가입 두 경로가 여기서 합류한다.",push,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 12, ""excel_row"": 13}",screen,signup_id,,S1,AOS 원본의 ‘온보딩 · 기본정보 입력’ 그룹과 iOS 12행의 ‘사용자 ID 만들기’가 근거입니다. 신규 가입에서 ID를 처음 정하므로 기존 프로필 링크를 바꾸는 my_info_id와 분리합니다.,2450e9a1f19aa5ef18fb4efc314dd31b177cbdc71b7a59ed7b6d3980ffea5e07
IOS-013,ios,signup_name,이름 입력하기 (회원가입 완료),본명이든 활동명이든 프로필에 쓸 이름을 넣고 「회원가입 완료」를 눌러 가입을 마무리하는 마지막 단계. 완료되면 가입 흐름이 닫히고 앱 본화면으로 들어간다.,push,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 13, ""excel_row"": 14}",screen,signup_name_ko,,S1,AOS 온보딩 기본정보의 한글 이름과 iOS 가입 완료 단계의 이름 입력을 대응시킵니다. 기존 회원의 이름 수정은 my_info_name_ko로 구분합니다.,9590ccd1a21a0b04c95ff4f6b32012f5b8728f5ade071540dd24be049a829930
IOS-014,ios,login_email,이메일 로그인 (이메일 입력 → 비밀번호 입력),"이메일 주소를 넣고 이어서 비밀번호를 넣는 로그인 화면으로, 두 단계가 한 화면에서 제목만 바뀌며 진행된다. 가입 이력이 없는 이메일이면 약관 동의 시트로, 계정이 잠겼거나 「비밀번호를 잊으셨나요?」를 누르면 이메일 인증번호 화면으로 갈라진다.",push,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 14, ""excel_row"": 15}",screen,login_email;login_password,,S1,login_email: 로그인 계정을 이메일로 식별하는 단계입니다. iOS는 비밀번호 단계와 같은 화면을 쓰지만 입력 대상과 다음 분기가 바뀌는 인증 체크포인트여서 이름을 나눕니다. login_password: 입력한 계정의 비밀번호로 로그인합니다. 이메일 단계와 구분하고 오류·재입력만으로 새 조회를 만들지 않습니다.,0d743bf4efd98a1bec9fabd3c60581d261a32c12dc7844751dad22821bb06a96
IOS-015,ios,signup_email_verification,이메일 인증번호 입력,"이메일로 받은 6자리 인증번호를 화면 아래 전용 숫자 키패드로 입력하는 화면으로, 3분 제한 시간과 「인증번호 다시받기」가 함께 놓인다. 신규 가입 확인과 비밀번호 재설정 두 경우에 같은 화면이 쓰인다.",push,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 15, ""excel_row"": 16}",screen,signup_email_verify;reset_password_verify,,S2;M2,같은 인증번호 입력 뷰라도 가입 확인과 비밀번호 재설정은 서로 다른 과업입니다. 호출 맥락으로 이름을 나눕니다.,4985c4e63595a4159ac37ee25e5dca7d5bea2d8571ea0857adb5e3d2891e9e50
IOS-016,ios,login_2fa_email,2단계 인증 이메일 코드 입력,"이메일로 받은 6자리 인증번호를 숫자 키패드로 눌러 넣고 로그인을 마무리하는 화면. 2단계 인증을 켠 계정이 이메일로 로그인할 때만 뜨고, 3분 제한 시간이 지나거나 번호가 틀리면 「인증번호 다시 받기」로 새로 받는다.",fullScreenCover,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 16, ""excel_row"": 17}",screen,login_2fa_email,,S1,2단계 인증을 켠 계정이 로그인을 마치기 위해 코드를 입력합니다. 설정에서 추가 인증을 처음 켜는 이메일 확인과 결과가 달라 나눕니다.,8beefccfed57d1442cb2c2d865fe5a757044ffa13e01f2875d8b5cc96c0d8f64
IOS-017,ios,join_landing,로그인·가입 랜딩 (소셜/이메일 선택),"로그아웃 상태에서 앱을 켜면 가장 먼저 보이는 화면으로, 카카오·구글·애플·이메일 중 하나를 골라 로그인하거나 가입을 시작한다. 맨 아래 「도움이 필요하신가요?」를 누르면 고객센터로 보내는 메일 작성 창이 열린다.",fullScreenCover,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 17, ""excel_row"": 18}",screen,auth_entry,,S1,소셜·이메일 중 인증 방법을 고르는 공통 출발점입니다. AOS 가입 방법 선택과 iOS 로그인·가입 랜딩의 역할을 대응시킵니다.,c44b758ea28db3485a6d8aa04ea3b8bef815621431146cc20d6493165429adb6
IOS-018,ios,onboarding_tutorial_complete,튜토리얼 완료 (입장 영상),"온보딩 가이드의 마지막 장으로, 전체 화면 영상이 재생된다. 12초 뒤 나타나는 「크리에이터 클럽 입장하기」 버튼을 누르면 튜토리얼이 닫히고 앱 본화면으로 들어간다.",fullScreenCover,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 18, ""excel_row"": 19}",screen,onboarding_welcome,,S1,가이드 뒤 입장 영상을 감상하고 앱으로 들어가는 목적지입니다. 완료 사실만 보여 주는 알림과 구분해 채택한 정책이며 영상의 독립 분석 필요성은 의미 검토 때 확인합니다.,23e98bd6d236355813c7a7dc7ad9b015470f37e1cb3550dac296dbfcd9b69282
IOS-019,ios,tutorial_intro,튜토리얼 인트로 (온보딩 가이드),"서버가 튜토리얼 대상으로 지정한 계정이 로그인하면 탭 화면 대신 통째로 뜨는 서비스 소개 가이드로, 화면을 누를 때마다 소개 그림이 한 장씩 넘어간다. 끝까지 넘기면 입장 영상으로 이어지고, 우상단 X 로 언제든 건너뛸 수 있다.",fullScreenCover,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 19, ""excel_row"": 20}",screen,onboarding_tutorial,,S1,서비스 소개 그림을 탐색하는 가이드입니다. 그림을 넘기는 것은 내부 단계로 기록하고 전체 가이드 진입에만 화면 조회를 보냅니다.,3fdf6cc5fb3a608d8641ccda276b77f52eb5cbdb3fd6b114337887d49305e365
IOS-020,ios,signup_terms_document,가입 약관 전문 보기 (동의 시트 위 전체 높이 시트),"약관 동의 시트에서 항목 오른쪽 「보기」를 누르면 그 위로 올라오는 약관 전문 화면으로, 다 읽고 하단 「동의합니다」를 누르면 그 항목이 동의 처리되며 닫힌다. 본문 안에서 하위 문서로 들어가면 닫기 버튼이 뒤로가기로 바뀐다.",sheet,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 20, ""excel_row"": 21}",screen,agreement_document,,M1;S1,약관 전문을 읽는 공통 목적지입니다. 가입·재동의·설정에서 여는 경로와 문서 종류는 계약의 구분 값으로 남기고 이름을 늘리지 않습니다.,fc2e3922b9b5d609805536cafe50fe887049294d0215bf872d670ebfbfc32e51
IOS-021,ios,signup_terms,이용약관 동의 바텀시트 (가입),"「이용약관 동의 후 가입」 시트로, 전체 동의를 켜거나 필수·선택 항목을 하나씩 체크한 뒤 「동의하고 계속」을 눌러 가입을 이어간다. 소셜 계정으로 처음 들어왔거나 아직 가입되지 않은 이메일로 로그인할 때 뜬다.",sheet,현행,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 21, ""excel_row"": 22}",screen,signup_terms,,S2,신규 가입에 필요한 동의를 선택·제출합니다. 약관 전문 읽기와 기존 회원 재동의는 목적이 달라 나눕니다.,f045071b23e6f9699484726313f2a0961d476095689bfb0d64d68fdc5a5fb4be
IOS-022,ios,profile_expression_onboarding,자기소개 만들기 (키워드·이미지·소개글 온보딩),"프로필의 자기소개를 처음 채우는 온보딩으로, 나를 나타내는 키워드(스타일·작업 방식·일하는 이유)를 고른 뒤 자기소개 이미지를 1장 이상 올리고 소개 글을 적는다. 한 화면을 스크롤하며 단계가 하나씩 열리고 마지막에 「등록하기」로 저장한다.",fullScreenCover,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 22, ""excel_row"": 23}",screen,profile_intro_create,,S1,키워드·이미지·소개글을 처음 등록하는 자기소개 과업입니다. 스크롤하며 열리는 각 항목은 내부 단계로 기록해 하나의 등록 방문으로 묶습니다.,4466e4bb3cf1ac2e14a75078f7f7fca7400809b61cbf38682ba6a6e8b95c0774
IOS-023,ios,profile_expression_edit,자기소개 수정,"이미 등록한 키워드·자기소개 이미지·소개 글이 한꺼번에 펼쳐져 있어 고칠 항목만 바꾸고 「수정하기」로 저장하는 화면. 내 프로필의 소개 관리에서 들어가며, 프로필 배경이 갱신되는 중에는 열리지 않고 「프로필 업데이트가 진행 중이에요.」 토스트만 뜬다.",fullScreenCover,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 23, ""excel_row"": 24}",screen,profile_intro_edit,,S1,등록된 자기소개 내용을 고쳐 저장합니다. 배경 갱신 중 토스트만 뜨고 편집기가 열리지 않으면 이 화면 조회를 보내지 않습니다.,b08987bf76dcb7f670952c4ac2f75ffefe74662148c9accd07b23fa39c5905c2
IOS-024,ios,profile_expression_image_viewer,자기소개(표현) 편집 — 첨부 이미지 전체보기,"자기소개에 올린 이미지를 누르면 전체 화면으로 크게 보여 주는 뷰어. 여러 장을 올렸으면 옆으로 넘겨 가며 볼 수 있고, 자기소개 만들기와 수정 어느 쪽에서 들어와도 같은 화면이다.",fullScreenCover,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 24, ""excel_row"": 25}",screen,media_viewer,,M1;S1,미디어를 크게 열어 확인하는 동일 목적지입니다. 첨부 종류와 사용 맥락은 별도 값으로 구분합니다.,62a6d461d4af1971c52b5455f9ab9dae49634a264d43d3d90c0ed48cf348045c
IOS-025,ios,profile_cover_onboarding,프로필 커버 만들기 (첫 온보딩),"프로필 커버를 처음 만드는 화면으로, 직업(최대 5개)·커버에 들어갈 한 줄 소개·표지 이미지나 영상·프로필 사진을 순서대로 하나씩 채운다. 「등록하기」로 마치면 「프로필 만들기를 완료했어요.」 토스트와 함께 프로필 탭으로 옮겨 간다.",fullScreenCover,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 25, ""excel_row"": 26}",screen,profile_cover_create,,M1;M3;S2,두 OS의 커버 만들기를 하나의 과업으로 셉니다. AOS 여섯 단계가 iOS에 모두 존재한다고 가정하지 않습니다. 실제 단계는 step으로 기록하며 단계마다 화면 조회를 늘리지 않습니다.,25fd5ad33e125128905b2e438ce135336c5809f608cea0f44333a23a88095e40
IOS-026,ios,profile_cover_video_player,프로필 커버 만들기 — 첨부 동영상 전체화면 재생,커버 표지로 붙인 동영상을 눌렀을 때 전체 화면으로 재생해 확인하는 화면. 표지에 사진이 아니라 영상을 올렸을 때만 나온다.,fullScreenCover,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 26, ""excel_row"": 27}",screen,media_viewer,,M1;S1,미디어를 크게 열어 확인하는 동일 목적지입니다. 첨부 종류와 사용 맥락은 별도 값으로 구분합니다.,622b0ead5edbbad4048e8128dbc1f9afa0f7d21cc3cf2bba87850a2682ba6c85
IOS-027,ios,profile_cover_image_viewer,프로필 커버 만들기 — 첨부 이미지 전체보기,"커버 표지 이미지나 프로필 사진을 눌렀을 때 전체 화면으로 크게 확인하는 뷰어로, 프로필 사진은 원형으로 보여 준다. 커버 만들기와 수정 양쪽에서 같은 화면이 뜬다.",fullScreenCover,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 27, ""excel_row"": 28}",screen,media_viewer,,M1;S1,미디어를 크게 열어 확인하는 동일 목적지입니다. 첨부 종류와 사용 맥락은 별도 값으로 구분합니다.,f66dc122a134e5f359ce63af3a72829549cc60b545ad99f922804ff0064ff5d4
IOS-028,ios,profile_cover_edit,프로필 커버 수정,"이미 만든 커버를 고치는 화면으로, 「원하시는 수정부분을 선택해주세요」 아래 아이디·이름·직업·한 줄 소개·표지 이미지나 영상·프로필 사진이 한꺼번에 펼쳐지고 고칠 항목만 바꿔 「수정하기」로 저장한다. 표지 이미지·영상 한 칸만 바로 여는 진입도 따로 있다.",fullScreenCover,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 28, ""excel_row"": 29}",screen,profile_cover_edit,,S1,이미 저장된 커버를 바꿔 저장합니다. 특정 미디어 항목만 바로 여는 진입도 같은 수정 목적이며 새 커버 만들기와 나눕니다.,89e74e5b70cfbb2132c0970c33b780e9118fb1098115f9fc2a5a1b452cf0d480
IOS-029,ios,profile_expression_photo_picker,자기소개 이미지 선택 (시스템 피커),자기소개에 넣을 사진을 아이폰 사진 앨범에서 고르는 시스템 시트. 아직 남아 있는 등록 칸 수만큼만 한 번에 선택할 수 있다.,sheet,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 29, ""excel_row"": 30}",system,,,X1,OS 사진·파일 선택기나 메일 작성기입니다. 앱은 열기·선택 결과만 기록하고 시스템 화면 이름을 만들지 않습니다.,302e0400e2cbdf7042d1e9f059e58a0d2c2c13f7401e0aa2449a59ca335d4c35
IOS-030,ios,home,홈(디스커버리 피드) 탭,"앱에 들어오면 처음 만나는 탭으로, 크리에이터와 작업물 카드를 위아래로 넘겨 보는 피드다. 카드에서 바로 리스펙트·댓글·공유를 하거나 눌러서 상세로 들어갈 수 있고, 카드 사이사이에 배너·전광판·추천 크리에이터 줄이 끼어든다.",탭 루트,현행,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 30, ""excel_row"": 31}",screen,home_feed,,S1,크리에이터·작업물 카드를 둘러보는 홈 피드입니다. AOS 홈과 iOS 디스커버리의 역할을 맞추며 피드의 개별 카드 노출을 홈 재진입으로 세지 않습니다.,2206a415748650eca12538331c766d8ff168a5c653c95772bac27bd08b61d7dd
IOS-031,ios,muse_comment_list,Muse 한 마디 목록,"Muse(인플루언서) 사용자들이 서비스를 둘러본 소감으로 남긴 짧은 한 마디를 이름·직군과 함께 카드로 모아 보여 준다. 내가 쓴 카드에만 더보기(…)가 붙어 수정·삭제로 이어지고, 앱 안에 여는 버튼이 없어 딥링크로만 들어온다.",push,제안,딥링크 전용,"{""sheet"": ""화면 목록"", ""data_row"": 31, ""excel_row"": 32}",screen,muse_comment_list,,S1,Muse의 한마디를 모아 읽는 목록입니다. 각 카드의 수정·삭제 메뉴는 보조 조작이며 목록의 새 방문으로 세지 않습니다.,b279699ad40c895c6d728f662e6b1413102770b019c1e50c07fca92982e79114
IOS-032,ios,discovery_creator_module,디스커버리 크리에이터 모듈 전체보기,"디스커버리 피드의 추천 크리에이터 가로 줄을 2열 격자로 펼쳐, 그 묶음에 속한 크리에이터를 끝까지 훑어보며 바로 팔로우하거나 눌러서 프로필로 넘어갈 수 있다. 줄 오른쪽 「전체보기 >」로 들어가고, 화면 제목은 서버가 내려준 묶음 이름을 그대로 쓴다.",push,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 32, ""excel_row"": 33}",screen,home_creator_list,,S1,홈 추천 줄의 크리에이터를 모두 펼쳐 보는 목록입니다. 피드 안의 가로 줄과 나누며 서버가 바꾸는 묶음 제목은 화면 이름에 넣지 않습니다.,29546f9cb693b728aa37c44147edab337bf1270f6e57ee8074084be329713260
IOS-033,ios,inspiration_list,영감 목록,"링크가 지정한 영감 몇 편으로 시작해 아래로 내리면 다른 영감이 계속 이어 붙는 세로 목록이고, 카드를 누르면 그 영감 상세로 간다. 오른쪽 아래 동그란 버튼으로 새 영감을 올릴 수 있으며, 앱 안에 여는 자리가 없어 딥링크로만 들어온다.",push,제안,딥링크 전용,"{""sheet"": ""화면 목록"", ""data_row"": 33, ""excel_row"": 34}",screen,inspiration_list,,S1,링크로 지정한 영감에서 이어 탐색하는 목록입니다. 딥링크로만 열려도 읽고 상세로 이동하는 목적지가 있어 채택하며 링크별 이름은 만들지 않습니다.,3334a09cc49f9b8fd29c1d044db6c96cdb811139c1410847a83beaf33e312357
IOS-034,ios,inspiration_detail,영감 상세,"짧은 영감 콘텐츠 한 편을 전체 화면으로 보여 주고, 좋아요와 댓글을 남기거나 작성자를 팔로우할 수 있다(공유·신고·수정은 더보기에서). 디스커버리 카드, 좋아요한 영감 목록, 해시태그 묶음에서 들어오고 영감 업로드를 마치면 곧바로 이 화면이 뜬다.",push,현행,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 34, ""excel_row"": 35}",screen,inspiration_detail,,S1,영감 한 편을 읽고 반응합니다. 홈·해시태그·좋아요 목록·업로드 완료 뒤의 진입을 같은 이름으로 맞춥니다.,9cc1ff2394edfcb534fcbbfddfa75cfa59ae1684b7db81e28c2877ab1ff7bf4a
IOS-035,ios,portfolio_detail,포트폴리오 상세,"작업물 한 편(이미지·영상·오디오·PDF·글·유튜브)을 전체 화면으로 펼쳐 보여 주고, 리스펙트와 댓글을 남기거나 작성자를 팔로우할 수 있다(공유·신고·수정은 더보기에서). 디스커버리 피드부터 프로필·북마크·검색 결과·프로젝트/팀 상세까지 작업물 카드가 있는 거의 모든 자리에서 들어오며, 목록에서 들어오면 좌우로 넘겨 다음 작업물을 이어 볼 수 있다.",push,현행,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 35, ""excel_row"": 36}",screen,portfolio_detail,,S1,작업물 한 편을 읽는 목적지입니다. 미디어 종류와 진입 위치는 이름을 나누지 않으며 다른 작업물로 넘기면 새 방문입니다.,07a93b5d1bf1a48ed9400c84dbde3b948edff2dcf2ed69683d547c2d088e8bb1
IOS-036,ios,portfolio_image_viewer,포트폴리오 사진 전체보기 뷰어,"포트폴리오 상세에서 사진을 누르면 화면을 가득 덮으며 열리는 사진 뷰어. 손가락으로 확대하고 좌우로 넘겨 볼 수 있으며, 사진이 여러 장이면 아래에 썸네일 줄이 서고 기기를 눕히면 가로로도 본다.",fullScreenCover,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 36, ""excel_row"": 37}",screen,media_viewer,,M1;S1,미디어를 크게 열어 확인하는 동일 목적지입니다. 첨부 종류와 사용 맥락은 별도 값으로 구분합니다.,4f6d02764764f053c3ae3c75d9761388fc652aa07bd753b8ca0d2db650dc3b5c
IOS-037,ios,muse_comment_manage,Muse 한 마디 관리 시트,"내가 남긴 Muse 한 마디를 「수정하기」·「삭제하기」 두 항목으로 처리하는 시트. 목록에서 내 카드의 더보기(…)를 누르면 열리고, 삭제하면 삭제했다는 토스트가 뜬다.",sheet,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 37, ""excel_row"": 38}",action,,,A1,수정하기·삭제하기 두 명령만 고르는 메뉴입니다. 실제 글 입력은 Muse 한 마디 작성·수정 화면에서 하므로 이 메뉴는 ui_action으로 기록합니다.,8e47e0ba19d0b2a66726232f45e48dd1c3001375956325f47c87671c06dd8b4f
IOS-038,ios,muse_comment_input,Muse 한 마디 작성/수정 시트,"Cre8orClub 을 둘러본 소감을 128자 안으로 적어 남기는 시트로, 예시 문구가 뜨는 입력칸과 「한 마디 남기기」 버튼으로 이뤄져 있다. 이미 남긴 한 마디가 있으면 그 글을 불러와 고쳐 쓰는 자리가 된다.",sheet,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 38, ""excel_row"": 39}",screen,muse_comment_input,,S2,한마디를 작성하거나 불러와 수정해 저장하는 입력 과업입니다. 작성·수정은 mode로 구분하고 명령만 고르는 37행 메뉴와 나눕니다.,c0af41e2b079d4d236e75df6f0202d04c1d40750398f5181dd60c01b0fe6c812
IOS-039,ios,inspiration_option_owner,내 영감 옵션 시트 (수정·삭제·공유),"내가 올린 영감을 수정·삭제하거나 게시물 공유를 고르는 시트. 디스커버리 영감 카드의 옵션(…)이나 영감 상세의 더보기에서 열리며, 작성자가 나일 때만 이 시트가 뜬다.",sheet,제안,도달 가능,"{""sheet"": ""화면 목록"", ""data_row"": 39, ""excel_row"": 40}",action,,,A1,정렬·첨부 종류·수정/삭제·언어 종류처럼 다음 명령을 고르는 메뉴입니다. 독립 입력 상태나 제출 결과가 없어 화면 조회 대신 선택 행동을 셉니다.,450372d7eb67f1aa2f7ccaeff1096bee7752150d144f782264aabf50e931fd73
