platform,source_id,original_name,original_label,classification,canonical_name,semantic_id,when,parameters,child_dispatch_names,source_context,rule_ids,reason,semantic_review,runtime_verification
ios,IOS-015,signup_email_verification,이메일 인증번호 입력,screen,reset_password_verify,S011,비밀번호 재설정 인증,{},,"{""sheet"": ""화면 목록"", ""data_row"": 15, ""excel_row"": 16}",S2;M2,같은 인증번호 입력 뷰라도 가입 확인과 비밀번호 재설정은 서로 다른 과업입니다. 호출 맥락으로 이름을 나눕니다.,pending,not_tested
ios,IOS-016,login_2fa_email,2단계 인증 이메일 코드 입력,screen,login_2fa_email,S009,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 16, ""excel_row"": 17}",S1,2단계 인증을 켠 계정이 로그인을 마치기 위해 코드를 입력합니다. 설정에서 추가 인증을 처음 켜는 이메일 확인과 결과가 달라 나눕니다.,pending,not_tested
ios,IOS-017,join_landing,로그인·가입 랜딩 (소셜/이메일 선택),screen,auth_entry,S003,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 17, ""excel_row"": 18}",S1,소셜·이메일 중 인증 방법을 고르는 공통 출발점입니다. AOS 가입 방법 선택과 iOS 로그인·가입 랜딩의 역할을 대응시킵니다.,pending,not_tested
ios,IOS-018,onboarding_tutorial_complete,튜토리얼 완료 (입장 영상),screen,onboarding_welcome,S022,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 18, ""excel_row"": 19}",S1,가이드 뒤 입장 영상을 감상하고 앱으로 들어가는 목적지입니다. 완료 사실만 보여 주는 알림과 구분해 채택한 정책이며 영상의 독립 분석 필요성은 의미 검토 때 확인합니다.,pending,not_tested
ios,IOS-019,tutorial_intro,튜토리얼 인트로 (온보딩 가이드),screen,onboarding_tutorial,S021,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 19, ""excel_row"": 20}",S1,서비스 소개 그림을 탐색하는 가이드입니다. 그림을 넘기는 것은 내부 단계로 기록하고 전체 가이드 진입에만 화면 조회를 보냅니다.,pending,not_tested
ios,IOS-020,signup_terms_document,가입 약관 전문 보기 (동의 시트 위 전체 높이 시트),screen,agreement_document,S024,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 20, ""excel_row"": 21}",M1;S1,약관 전문을 읽는 공통 목적지입니다. 가입·재동의·설정에서 여는 경로와 문서 종류는 계약의 구분 값으로 남기고 이름을 늘리지 않습니다.,pending,not_tested
ios,IOS-021,signup_terms,이용약관 동의 바텀시트 (가입),screen,signup_terms,S004,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 21, ""excel_row"": 22}",S2,신규 가입에 필요한 동의를 선택·제출합니다. 약관 전문 읽기와 기존 회원 재동의는 목적이 달라 나눕니다.,pending,not_tested
ios,IOS-022,profile_expression_onboarding,자기소개 만들기 (키워드·이미지·소개글 온보딩),screen,profile_intro_create,S027,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 22, ""excel_row"": 23}",S1,키워드·이미지·소개글을 처음 등록하는 자기소개 과업입니다. 스크롤하며 열리는 각 항목은 내부 단계로 기록해 하나의 등록 방문으로 묶습니다.,pending,not_tested
ios,IOS-023,profile_expression_edit,자기소개 수정,screen,profile_intro_edit,S028,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 23, ""excel_row"": 24}",S1,등록된 자기소개 내용을 고쳐 저장합니다. 배경 갱신 중 토스트만 뜨고 편집기가 열리지 않으면 이 화면 조회를 보내지 않습니다.,pending,not_tested
ios,IOS-024,profile_expression_image_viewer,자기소개(표현) 편집 — 첨부 이미지 전체보기,screen,media_viewer,S042,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 24, ""excel_row"": 25}",M1;S1,미디어를 크게 열어 확인하는 동일 목적지입니다. 첨부 종류와 사용 맥락은 별도 값으로 구분합니다.,pending,not_tested
ios,IOS-025,profile_cover_onboarding,프로필 커버 만들기 (첫 온보딩),screen,profile_cover_create,S025,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 25, ""excel_row"": 26}",M1;M3;S2,두 OS의 커버 만들기를 하나의 과업으로 셉니다. AOS 여섯 단계가 iOS에 모두 존재한다고 가정하지 않습니다. 실제 단계는 step으로 기록하며 단계마다 화면 조회를 늘리지 않습니다.,pending,not_tested
ios,IOS-026,profile_cover_video_player,프로필 커버 만들기 — 첨부 동영상 전체화면 재생,screen,media_viewer,S042,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 26, ""excel_row"": 27}",M1;S1,미디어를 크게 열어 확인하는 동일 목적지입니다. 첨부 종류와 사용 맥락은 별도 값으로 구분합니다.,pending,not_tested
ios,IOS-027,profile_cover_image_viewer,프로필 커버 만들기 — 첨부 이미지 전체보기,screen,media_viewer,S042,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 27, ""excel_row"": 28}",M1;S1,미디어를 크게 열어 확인하는 동일 목적지입니다. 첨부 종류와 사용 맥락은 별도 값으로 구분합니다.,pending,not_tested
ios,IOS-028,profile_cover_edit,프로필 커버 수정,screen,profile_cover_edit,S026,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 28, ""excel_row"": 29}",S1,이미 저장된 커버를 바꿔 저장합니다. 특정 미디어 항목만 바로 여는 진입도 같은 수정 목적이며 새 커버 만들기와 나눕니다.,pending,not_tested
ios,IOS-029,profile_expression_photo_picker,자기소개 이미지 선택 (시스템 피커),system,,,,{},,"{""sheet"": ""화면 목록"", ""data_row"": 29, ""excel_row"": 30}",X1,OS 사진·파일 선택기나 메일 작성기입니다. 앱은 열기·선택 결과만 기록하고 시스템 화면 이름을 만들지 않습니다.,pending,not_tested
ios,IOS-030,home,홈(디스커버리 피드) 탭,screen,home_feed,S030,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 30, ""excel_row"": 31}",S1,크리에이터·작업물 카드를 둘러보는 홈 피드입니다. AOS 홈과 iOS 디스커버리의 역할을 맞추며 피드의 개별 카드 노출을 홈 재진입으로 세지 않습니다.,pending,not_tested
ios,IOS-031,muse_comment_list,Muse 한 마디 목록,screen,muse_comment_list,S033,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 31, ""excel_row"": 32}",S1,Muse의 한마디를 모아 읽는 목록입니다. 각 카드의 수정·삭제 메뉴는 보조 조작이며 목록의 새 방문으로 세지 않습니다.,pending,not_tested
ios,IOS-032,discovery_creator_module,디스커버리 크리에이터 모듈 전체보기,screen,home_creator_list,S031,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 32, ""excel_row"": 33}",S1,홈 추천 줄의 크리에이터를 모두 펼쳐 보는 목록입니다. 피드 안의 가로 줄과 나누며 서버가 바꾸는 묶음 제목은 화면 이름에 넣지 않습니다.,pending,not_tested
ios,IOS-033,inspiration_list,영감 목록,screen,inspiration_list,S032,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 33, ""excel_row"": 34}",S1,링크로 지정한 영감에서 이어 탐색하는 목록입니다. 딥링크로만 열려도 읽고 상세로 이동하는 목적지가 있어 채택하며 링크별 이름은 만들지 않습니다.,pending,not_tested
ios,IOS-034,inspiration_detail,영감 상세,screen,inspiration_detail,S037,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 34, ""excel_row"": 35}",S1,영감 한 편을 읽고 반응합니다. 홈·해시태그·좋아요 목록·업로드 완료 뒤의 진입을 같은 이름으로 맞춥니다.,pending,not_tested
ios,IOS-035,portfolio_detail,포트폴리오 상세,screen,portfolio_detail,S036,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 35, ""excel_row"": 36}",S1,작업물 한 편을 읽는 목적지입니다. 미디어 종류와 진입 위치는 이름을 나누지 않으며 다른 작업물로 넘기면 새 방문입니다.,pending,not_tested
ios,IOS-036,portfolio_image_viewer,포트폴리오 사진 전체보기 뷰어,screen,media_viewer,S042,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 36, ""excel_row"": 37}",M1;S1,미디어를 크게 열어 확인하는 동일 목적지입니다. 첨부 종류와 사용 맥락은 별도 값으로 구분합니다.,pending,not_tested
ios,IOS-037,muse_comment_manage,Muse 한 마디 관리 시트,action,,,,{},,"{""sheet"": ""화면 목록"", ""data_row"": 37, ""excel_row"": 38}",A1,수정하기·삭제하기 두 명령만 고르는 메뉴입니다. 실제 글 입력은 Muse 한 마디 작성·수정 화면에서 하므로 이 메뉴는 ui_action으로 기록합니다.,pending,not_tested
ios,IOS-038,muse_comment_input,Muse 한 마디 작성/수정 시트,screen,muse_comment_input,S035,"한마디 입력 과업이 열릴 때: 새 글은 mode=create, 기존 글을 불러오면 mode=edit",{},,"{""sheet"": ""화면 목록"", ""data_row"": 38, ""excel_row"": 39}",S2,한마디를 작성하거나 불러와 수정해 저장하는 입력 과업입니다. 작성·수정은 mode로 구분하고 명령만 고르는 37행 메뉴와 나눕니다.,pending,not_tested
ios,IOS-039,inspiration_option_owner,내 영감 옵션 시트 (수정·삭제·공유),action,,,,{},,"{""sheet"": ""화면 목록"", ""data_row"": 39, ""excel_row"": 40}",A1,정렬·첨부 종류·수정/삭제·언어 종류처럼 다음 명령을 고르는 메뉴입니다. 독립 입력 상태나 제출 결과가 없어 화면 조회 대신 선택 행동을 셉니다.,pending,not_tested
ios,IOS-040,portfolio_option_owner,내 작업물 소유자 액션 시트 (대표작·수정·삭제·공유),action,,,,{},,"{""sheet"": ""화면 목록"", ""data_row"": 40, ""excel_row"": 41}",A1,정렬·첨부 종류·수정/삭제·언어 종류처럼 다음 명령을 고르는 메뉴입니다. 독립 입력 상태나 제출 결과가 없어 화면 조회 대신 선택 행동을 셉니다.,pending,not_tested
ios,IOS-041,home_portfolio_option_my,내 포트폴리오 옵션 (수정·삭제),action,,,,{},,"{""sheet"": ""화면 목록"", ""data_row"": 41, ""excel_row"": 42}",A1,정렬·첨부 종류·수정/삭제·언어 종류처럼 다음 명령을 고르는 메뉴입니다. 독립 입력 상태나 제출 결과가 없어 화면 조회 대신 선택 행동을 셉니다.,pending,not_tested
ios,IOS-042,home_project_card_option_my,내 프로젝트 카드 더보기 (수정·삭제·공유),action,,,,{},,"{""sheet"": ""화면 목록"", ""data_row"": 42, ""excel_row"": 43}",A1;V1,정렬·첨부 종류·수정/삭제·언어 종류처럼 다음 명령을 고르는 메뉴입니다. 독립 입력 상태나 제출 결과가 없어 화면 조회 대신 선택 행동을 셉니다. 현재 원본에는 도달 불가로 적혀 있어 실제 도달 증거 전까지 발송하지 않습니다.,pending,not_tested
ios,IOS-043,home_inspiration_comment,영감 댓글 바텀시트 (디스커버리 카드),screen,inspiration_comment_list,S039,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 43, ""excel_row"": 44}",S2,영감의 댓글·답글을 읽고 씁니다. 피드에서 바로 연 시트와 상세에서 연 시트의 차이는 진입 위치이며 같은 이름을 사용합니다.,pending,not_tested
ios,IOS-044,inspiration_detail_comment,영감 상세 댓글 바텀시트,screen,inspiration_comment_list,S039,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 44, ""excel_row"": 45}",S2,영감의 댓글·답글을 읽고 씁니다. 피드에서 바로 연 시트와 상세에서 연 시트의 차이는 진입 위치이며 같은 이름을 사용합니다.,pending,not_tested
ios,IOS-045,inspiration_option_other,타인 영감 옵션 시트 (프로필 저장·공유·차단·신고),action,,,,{},,"{""sheet"": ""화면 목록"", ""data_row"": 45, ""excel_row"": 46}",A1,정렬·첨부 종류·수정/삭제·언어 종류처럼 다음 명령을 고르는 메뉴입니다. 독립 입력 상태나 제출 결과가 없어 화면 조회 대신 선택 행동을 셉니다.,pending,not_tested
ios,IOS-046,portfolio_option_other,타인 포트폴리오 더보기 옵션 시트,action,,,,{},,"{""sheet"": ""화면 목록"", ""data_row"": 46, ""excel_row"": 47}",A1,정렬·첨부 종류·수정/삭제·언어 종류처럼 다음 명령을 고르는 메뉴입니다. 독립 입력 상태나 제출 결과가 없어 화면 조회 대신 선택 행동을 셉니다.,pending,not_tested
ios,IOS-047,home_portfolio_comment,포트폴리오 댓글 바텀시트 (디스커버리 카드),screen,portfolio_comment_list,S038,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 47, ""excel_row"": 48}",S2,작업물의 댓글 전체를 읽고 씁니다. 피드·상세·프로필에서 연 댓글은 같은 대상과 기능이므로 하나로 합칩니다.,pending,not_tested
ios,IOS-048,portfolio_detail_comment,포트폴리오 상세 댓글 바텀시트,screen,portfolio_comment_list,S038,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 48, ""excel_row"": 49}",S2,작업물의 댓글 전체를 읽고 씁니다. 피드·상세·프로필에서 연 댓글은 같은 대상과 기능이므로 하나로 합칩니다.,pending,not_tested
ios,IOS-049,portfolio_respect_phrase,리스펙트 한마디 고르기,screen,respect_select,S040,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 49, ""excel_row"": 50}",S2,작업물에 보낼 리스펙트 문구를 선택·제출합니다. 선택 자체가 사용자 반응을 정하는 과업이므로 다음 기능만 고르는 메뉴와 구분해 셉니다.,pending,not_tested
ios,IOS-050,home_card_long_press,카드 롱프레스 액션 오버레이,action,,,,{},,"{""sheet"": ""화면 목록"", ""data_row"": 50, ""excel_row"": 51}",A1,"카드를 길게 눌러 게임을 시작하는 제스처 오버레이입니다. 카드 조작은 ui_action, 실제 게임이 열리면 해당 게임 화면 조회를 보냅니다. 수정·삭제 옵션 메뉴라고 적었던 이전 분류 사유를 정정합니다.",pending,not_tested
ios,IOS-051,detail_browse_unavailable,상세를 열 수 없어요 (탐색 세션 만료 안내),action,,,,{},,"{""sheet"": ""화면 목록"", ""data_row"": 51, ""excel_row"": 52}",A3,로딩·빈 목록·실패는 현재 목적지의 상태입니다. 대상이 없어 목적지를 표시하지 못하면 실패 행동만 보내고 가짜 상세 조회를 만들지 않습니다.,pending,not_tested
ios,IOS-052,'-,콘텐츠 상세 페이저 (스와이프 브라우징 컨테이너),container,,,,{},,"{""sheet"": ""화면 목록"", ""data_row"": 52, ""excel_row"": 53}",X2,탭·페이저·웹뷰의 바깥 틀입니다. 실제 보이는 자식 목적지에서 한 번 보냅니다. 웹 목적지를 모르면 진단 기록 후 이름을 등록합니다.,pending,not_tested
ios,IOS-053,my_profile_card,MY 탭 (내 프로필 루트),screen,my_profile,S059,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 53, ""excel_row"": 54}",M1;M4;S1,MY 바깥 탭과 안쪽 프로필에서 중복 발송하지 않습니다. 실제 전면 목적지 한 곳에서만 보냅니다.,pending,not_tested
ios,IOS-054,my_onboarding_intro,MY 탭 온보딩 인트로 (커버 미선택 회원),screen,my_profile_intro,S029,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 54, ""excel_row"": 55}",S1,커버 미등록 회원에게 프로필 대신 보이는 만들기 안내입니다. 이력·작업물·공유 기능이 없는 상태여서 정상 내 프로필 방문과 나눕니다.,pending,not_tested
ios,IOS-055,basic_info_id,ID 변경,screen,my_info_id,S064,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 55, ""excel_row"": 56}",S1,기존 회원이 공개 ID를 바꿉니다. 이전 링크 단절·변경 간격 제한이 있는 수정이므로 가입 ID를 처음 만드는 signup_id와 합치지 않습니다.,pending,not_tested
ios,IOS-056,resume_career_register,경력 추가 · 수정,screen,resume_career_form,S086,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 56, ""excel_row"": 57}",S1,경력 한 줄의 프로젝트·역할·기간을 입력합니다. 새 행·기존 행은 같은 서식으로 묶어 mode로 구분하고 저장·삭제는 결과로 기록합니다.,pending,not_tested
ios,IOS-057,my_profile_preview,내 프로필 미리보기,screen,my_profile_preview,S060,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 57, ""excel_row"": 58}",S1,내 프로필이 타인에게 보이는 모습을 확인하고 공유합니다. 정상 MY 관리와 나누며 비공개 안내만 뜨고 미리보기가 열리지 않으면 보내지 않습니다.,pending,not_tested
ios,IOS-058,basic_info_link_register,링크 등록,screen,my_info_link_register,S080,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 58, ""excel_row"": 59}",S1,프로필 링크 주소와 제목을 저장합니다. 기존 링크 수정도 같은 입력 과업이며 링크 열기·삭제 명령만 고르는 메뉴는 제외합니다.,pending,not_tested
ios,IOS-059,resume_awards_register,수상 · 자격 추가 · 수정,screen,resume_awards_form,S088,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 59, ""excel_row"": 60}",S1,수상·자격 한 줄의 종류·명칭·날짜를 입력합니다. 종류와 추가·수정 상태로 이름을 늘리지 않고 구분 값을 씁니다.,pending,not_tested
ios,IOS-060,basic_info_signature_keyword_register,시그니처 키워드 등록,reserved,my_info_signature_keyword_register,S071,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 60, ""excel_row"": 61}",S1;V1,한 갈래의 키워드를 골라 등록합니다. 유일한 입구가 도달 불가 목록이므로 선택 화면도 예약하고 발송하지 않습니다.,pending,not_tested
ios,IOS-061,basic_info_signature_keyword,시그니처 키워드 목록,reserved,my_info_signature_keyword,S070,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 61, ""excel_row"": 62}",S1;V1,시그니처 키워드를 갈래별로 관리하는 목록입니다. 원본에 여는 입구가 없다고 적혀 있어 이름만 예약하고 도달 확인 전 보내지 않습니다.,pending,not_tested
ios,IOS-062,basic_info_name_en,영문 이름 입력,screen,my_info_name_en,S066,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 62, ""excel_row"": 63}",S1,기존 프로필의 성·이름·미들네임을 입력합니다. 한글 이름과 입력 구조가 다르며 가입 단계가 확인되면 signup_name_en을 씁니다.,pending,not_tested
ios,IOS-063,basic_info_email_verify,이메일 인증번호 입력,screen,my_info_email_verify,S076,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 63, ""excel_row"": 64}",S1,연락용 이메일의 사용 권한을 코드로 확인합니다. 가입·로그인·2단계 인증 설정과 확인 대상이 달라 나눕니다.,pending,not_tested
ios,IOS-064,basic_info_phone_register,전화번호 입력,screen,my_info_phone_register,S078,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 64, ""excel_row"": 65}",S1,국가번호와 연락 전화번호를 저장합니다. 기존 번호 유무에 따른 진입 메뉴 차이는 같은 입력 목적의 차이로 보지 않습니다.,pending,not_tested
ios,IOS-065,basic_info_profession,직업 · 전문분야 목록,screen,my_info_profession,S067,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 65, ""excel_row"": 66}",S1,등록 직업의 추가·삭제·대표 지정을 관리합니다. 새 직업 후보를 고르는 선택 화면과 관리 대상·할 일이 달라 나눕니다.,pending,not_tested
ios,IOS-066,resume_management,커리어 관리,screen,resume_home,S085,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 66, ""excel_row"": 67}",S1,학력·경력·수상·자격을 관리하는 이력 허브입니다. AOS user_resume과 iOS 커리어 관리를 대응시키고 이력을 타인에게 보여 주는 프로필과 나눕니다.,pending,not_tested
ios,IOS-067,project_card_list,프로젝트 카드 목록,screen,project_list,S111,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 67, ""excel_row"": 68}",S1,프로젝트 여러 건을 훑고 상세로 이동합니다. 앱 버튼이 없어도 딥링크로 실제 열리는 목록을 채택하며 개별 카드 조회와 나눕니다.,pending,not_tested
ios,IOS-068,project_detail,프로젝트 카드 상세,screen,project_detail,S110,목적지가 실제 표시될 때,{},,"{""sheet"": ""화면 목록"", ""data_row"": 68, ""excel_row"": 69}",S1,프로젝트 한 건의 모집 정보·작성자·지원 상태를 읽습니다. 지원서 작성·지원자 관리와 나누고 유입 경로로 이름을 늘리지 않습니다.,pending,not_tested
