여정,GA 화면 제목(screen_name/page_title),개발 키(screen_key),화면 범위,진입 경로,다음 이동,플랫폼,표시 조건,화면 경계
앱 실행·가입·로그인,비밀번호 찾기 · 이메일 입력,login_reset_email,비밀번호를 재설정할 계정 이메일을 입력하는 화면입니다.,로그인 비밀번호 입력 → 비밀번호 찾기,이메일 인증 화면으로 이동합니다.,aos,이 화면이 실제 전면에 표시된 경우,
앱 실행·가입·로그인,비밀번호 찾기 · 이메일 인증,login_reset_verify,비밀번호 재설정을 위해 이메일 소유권을 확인하는 화면입니다.,비밀번호 찾기 또는 계정 잠김 해제 안내,새 비밀번호 입력으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
앱 실행·가입·로그인,비밀번호 찾기 · 새 비밀번호 입력,login_reset_password,인증을 마친 비로그인 사용자가 새 비밀번호를 설정하는 화면입니다.,비밀번호 찾기 이메일 인증 완료,완료 후 로그인 시작으로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,로그인한 회원의 설정 내 비밀번호 변경과 진입 맥락을 분리합니다.
가입 후 첫 이용,첫 이용 · 권한 안내,auth_permission,앱이 요청하는 권한의 목적을 설명하는 앱 자체 화면입니다.,회원가입 성공 또는 최초 권한 안내 조건,권한 처리 이후 이용 안내 또는 메인으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,시스템 권한 팝업은 별도 앱 화면명으로 기록하지 않습니다. 플랫폼·기존 동의 여부에 따라 안내 순서가 다를 수 있습니다.
가입 후 첫 이용,첫 이용 · 서비스 안내,onboarding_guide,서비스 이용 방법을 안내하는 튜토리얼 화면입니다.,가입 후 첫 이용 안내,환영 영상으로 이동하거나 건너뛰어 메인으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,한 안내 화면 안의 문구·슬라이드 전환은 guide_step 값으로 구분합니다. 화면 조회를 문구 개수만큼 늘리지 않습니다.
가입 후 첫 이용,첫 이용 · 환영 영상,onboarding_welcome,입장 버튼과 환영 영상이 표시되는 튜토리얼 마지막 화면입니다.,서비스 안내 마지막 단계,클럽 입장 → 메인 또는 보존된 딥링크 목적지로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
가입 후 첫 이용,첫 이용 · 개인정보 이용 동의,auth_privacy_agreement,로그인한 사용자에게 필요한 개인정보 이용 동의를 받는 화면입니다.,로그인 후 개인정보 동의가 필요한 상태,동의 완료 후 메인 화면을 이용합니다.,ios,이 화면이 실제 전면에 표시된 경우,
가입 후 첫 이용,계정 · 갱신 약관 동의,auth_agreement_update,기존 회원에게 변경된 약관의 동의를 받는 화면입니다.,약관 갱신 동의가 필요한 로그인 상태,필수 동의 완료 후 메인으로 이동합니다.,aos,이 화면이 실제 전면에 표시된 경우,
디스커버리 · 발견,디스커버리 · 발견,home_discovery,추천 크리에이터와 작업물을 피드로 탐색하는 디스커버리 첫 화면입니다.,로그인 또는 하단 디스커버리 탭,크리에이터 프로필·포트폴리오·영감·프로젝트 상세 또는 추천 목록으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,피드의 카드·추천 모듈·스크롤 위치·자동 로딩은 별도 화면이 아닙니다.
디스커버리 · 발견,디스커버리 · 추천 크리에이터 목록,home_creator_list,선택한 추천 모듈의 크리에이터 전체 목록을 보는 화면입니다.,디스커버리 → 추천 크리에이터 전체보기,선택한 크리에이터 프로필로 이동합니다.,ios,이 화면이 실제 전면에 표시된 경우,
디스커버리 · 발견,디스커버리 · 영감 모아보기,home_inspiration_feed,여러 영감을 연속 목록으로 탐색하는 화면입니다.,디스커버리 → 영감 더보기,영감 상세로 이동합니다.,ios,이 화면이 실제 전면에 표시된 경우,
파인더 · 검색,파인더 · 검색,finder_search,검색 전 입력·추천 영역이 표시되는 파인더 시작 화면입니다.,하단 파인더 탭 또는 검색 진입,검색 결과·키워드 추천·인맥 탐색으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,실제 AOS 하단 검색 탭은 MainTab.SEARCH입니다. enum FINDER의 갤러리 딥링크와 합치지 않습니다.
파인더 · 검색,파인더 · 크리에이터 검색 결과,finder_result_creator,검색 조건에 맞는 크리에이터 목록을 보는 검색 결과 화면입니다.,파인더 → 검색 → 해당 결과 탭,크리에이터 프로필로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,결과 없음·재검색·필터 변경은 같은 결과 화면입니다. 검색어 원문을 화면명에 넣지 않습니다.
파인더 · 검색,파인더 · 포트폴리오 검색 결과,finder_result_portfolio,검색 조건에 맞는 포트폴리오 목록을 보는 검색 결과 화면입니다.,파인더 → 검색 → 해당 결과 탭,포트폴리오 상세로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,결과 없음·재검색·필터 변경은 같은 결과 화면입니다. 검색어 원문을 화면명에 넣지 않습니다.
파인더 · 검색,파인더 · 프로젝트 검색 결과,finder_result_project,검색 조건에 맞는 프로젝트 목록을 보는 검색 결과 화면입니다.,파인더 → 검색 → 해당 결과 탭,프로젝트 상세로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,결과 없음·재검색·필터 변경은 같은 결과 화면입니다. 검색어 원문을 화면명에 넣지 않습니다.
파인더 · 검색,파인더 · 크리에이터 필터,finder_filter,크리에이터 탐색 조건을 선택하는 독립 필터 화면입니다.,파인더 크리에이터 결과 → 필터,적용·닫기 → 검색 결과로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
파인더 · 검색,파인더 · 키워드 추천,finder_keyword,추천 키워드를 살펴보고 검색 범위를 선택하는 화면입니다.,파인더 → 키워드 추천,선택한 키워드의 결과 목록으로 이동합니다.,"aos,ios,web",이 화면이 실제 전면에 표시된 경우,
파인더 · 검색,파인더 · 키워드 묶음 결과,finder_shuffle_result,선택한 키워드 묶음에 해당하는 탐색 결과 화면입니다.,키워드 추천 → 키워드 묶음,크리에이터·포트폴리오 상세로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
파인더 · 검색,인맥 탐색 · 다이얼,network_dial,다이얼로 인맥을 탐색하는 독립 화면입니다.,파인더·채티 → 인맥 탐색,크리에이터 프로필 또는 인맥 연결 경로로 이동합니다.,"aos,ios,web",이 화면이 실제 전면에 표시된 경우,
파인더 · 검색,인맥 탐색 · 사용 안내,network_dial_guide,인맥 다이얼 조작 방법을 안내하는 별도 페이지입니다.,인맥 다이얼 → 안내,인맥 다이얼로 돌아갑니다.,web,이 화면이 실제 전면에 표시된 경우,
파인더 · 검색,인맥 탐색 · 연결 경로,network_dial_path,크리에이터 사이 연결 관계를 따라가는 화면입니다.,인맥 다이얼 → 연결 경로 보기,연결된 크리에이터 프로필로 이동합니다.,web,이 화면이 실제 전면에 표시된 경우,
다른 크리에이터 탐색,크리에이터 · 프로필,creator_profile,다른 크리에이터의 커버·이력 중심의 프로필 본문을 보는 화면입니다.,발견·검색·인맥·채팅 → 크리에이터 선택 → 프로필,콘텐츠 상세·관계 목록·노크·대화로 이동합니다.,"aos,ios,web",이 화면이 실제 전면에 표시된 경우,"프로필 호스트와 선택 탭을 동시에 기록하지 않습니다. 커버·이력 전면이면 프로필, 작업물·소개 탭 전면이면 해당 탭 이름 하나만 기록합니다. 같은 프로필 안 스크롤은 새 화면이 아닙니다. AOS/iOS의 초기 탭 차이는 실제 보이는 탭을 따릅니다."
다른 크리에이터 탐색,크리에이터 · 소개,creator_intro,다른 크리에이터의 소개 본문을 보는 화면입니다.,발견·검색·인맥·채팅 → 크리에이터 선택 → 소개,콘텐츠 상세·관계 목록·노크·대화로 이동합니다.,"aos,ios,web",이 화면이 실제 전면에 표시된 경우,"프로필 호스트와 선택 탭을 동시에 기록하지 않습니다. 커버·이력 전면이면 프로필, 작업물·소개 탭 전면이면 해당 탭 이름 하나만 기록합니다. 같은 프로필 안 스크롤은 새 화면이 아닙니다. AOS/iOS의 초기 탭 차이는 실제 보이는 탭을 따릅니다."
다른 크리에이터 탐색,크리에이터 · 포트폴리오,creator_portfolios,다른 크리에이터의 등록된 포트폴리오 목록을 보는 화면입니다.,발견·검색·인맥·채팅 → 크리에이터 선택 → 포트폴리오,콘텐츠 상세·관계 목록·노크·대화로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,"프로필 호스트와 선택 탭을 동시에 기록하지 않습니다. 커버·이력 전면이면 프로필, 작업물·소개 탭 전면이면 해당 탭 이름 하나만 기록합니다. 같은 프로필 안 스크롤은 새 화면이 아닙니다. AOS/iOS의 초기 탭 차이는 실제 보이는 탭을 따릅니다."
다른 크리에이터 탐색,크리에이터 · 프로젝트,creator_projects,다른 크리에이터의 등록된 프로젝트 목록을 보는 화면입니다.,발견·검색·인맥·채팅 → 크리에이터 선택 → 프로젝트,콘텐츠 상세·관계 목록·노크·대화로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,"프로필 호스트와 선택 탭을 동시에 기록하지 않습니다. 커버·이력 전면이면 프로필, 작업물·소개 탭 전면이면 해당 탭 이름 하나만 기록합니다. 같은 프로필 안 스크롤은 새 화면이 아닙니다. AOS/iOS의 초기 탭 차이는 실제 보이는 탭을 따릅니다."
다른 크리에이터 탐색,크리에이터 · 영감,creator_inspirations,다른 크리에이터의 등록된 영감 목록을 보는 화면입니다.,발견·검색·인맥·채팅 → 크리에이터 선택 → 영감,콘텐츠 상세·관계 목록·노크·대화로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,"프로필 호스트와 선택 탭을 동시에 기록하지 않습니다. 커버·이력 전면이면 프로필, 작업물·소개 탭 전면이면 해당 탭 이름 하나만 기록합니다. 같은 프로필 안 스크롤은 새 화면이 아닙니다. AOS/iOS의 초기 탭 차이는 실제 보이는 탭을 따릅니다."
다른 크리에이터 탐색,포트폴리오 · 상세,portfolio_detail,하나의 포트폴리오 내용을 상세히 보는 화면입니다.,발견·검색·프로필·북마크 → 포트폴리오 선택,작성자 프로필·리스펙트·첨부 확대·다음 작품으로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,내 작품/타인 작품·유입 탭·파일 형식은 속성입니다. 작품명·작성자 이름을 화면명에 붙이지 않습니다. 페이저가 다른 작품을 전면에 표시하면 같은 이름으로 새 방문을 기록합니다.
다른 크리에이터 탐색,영감 · 상세,inspiration_detail,하나의 영감 콘텐츠를 상세히 보는 화면입니다.,발견·프로필 → 영감 선택,좋아요·댓글·작성자 프로필·다음 영감으로 이어집니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
다른 크리에이터 탐색,영감 · 코멘트 목록,inspiration_comment_list,코멘트 목록이 독립 화면으로 펼쳐진 상태입니다.,영감·뮤즈 코멘트 진입,댓글 작성·답글 확인 또는 원래 화면으로 돌아갑니다.,ios,이 화면이 실제 전면에 표시된 경우,
다른 크리에이터 탐색,소통 · 리스펙트 메시지 선택,respect_select,리스펙트 문구를 고르는 독립 과업 시트입니다.,포트폴리오·크리에이터 → 리스펙트,선택한 메시지를 전송하고 원래 화면으로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,리스펙트 누르기·전송 성공은 액션입니다. 문구 선택 시트가 실제 열린 경우만 이 화면을 기록합니다.
다른 크리에이터 탐색,인맥 · 일촌 목록,contact_first,선택한 관계 유형의 크리에이터 목록이 표시되는 화면입니다.,마이·타인 프로필의 관계 수 또는 인맥 메뉴,크리에이터 프로필로 이동하거나 관계를 관리합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,내 인맥과 타인의 관계 목록은 profile_owner 속성으로 구분합니다. 부모 인맥 컨테이너를 추가 기록하지 않습니다.
다른 크리에이터 탐색,인맥 · 팔로워 목록,contact_follower,선택한 관계 유형의 크리에이터 목록이 표시되는 화면입니다.,마이·타인 프로필의 관계 수 또는 인맥 메뉴,크리에이터 프로필로 이동하거나 관계를 관리합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,내 인맥과 타인의 관계 목록은 profile_owner 속성으로 구분합니다. 부모 인맥 컨테이너를 추가 기록하지 않습니다.
다른 크리에이터 탐색,인맥 · 팔로잉 목록,contact_following,선택한 관계 유형의 크리에이터 목록이 표시되는 화면입니다.,마이·타인 프로필의 관계 수 또는 인맥 메뉴,크리에이터 프로필로 이동하거나 관계를 관리합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,내 인맥과 타인의 관계 목록은 profile_owner 속성으로 구분합니다. 부모 인맥 컨테이너를 추가 기록하지 않습니다.
다른 크리에이터 탐색,인맥 · 검색,contact_search,내 인맥에서 사용자를 검색하는 화면입니다.,인맥 목록 → 검색,검색된 크리에이터 프로필로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
다른 크리에이터 탐색,프로필 · 리스펙트 목록,profile_respect_list,프로필의 리스펙트 목록을 독립적으로 보는 화면입니다.,프로필 → 리스펙트 목록,목록에 나타난 크리에이터 프로필로 이동합니다.,aos,이 화면이 실제 전면에 표시된 경우,
다른 크리에이터 탐색,첨부 · 미디어 전체보기,media_viewer,이미지·영상·PDF 등 첨부 파일을 전체 화면으로 보는 화면입니다.,콘텐츠·채팅·프로필 → 첨부 확대,닫기 → 원래 화면으로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,같은 뷰어에서 파일을 넘겨도 화면명은 고정입니다. 파일 종류·순번은 속성입니다. proposal_detail로 잘못 부르던 AOS 미리보기도 이 화면입니다.
마이 · 나를 소개하기,마이 · 프로필,my_profile,내 커버·이력 중심의 프로필 본문을 보는 화면입니다.,하단 마이 탭 또는 내 프로필 보기 → 프로필,프로필 정보 등록·수정 또는 내 콘텐츠 상세로 이동합니다.,"aos,ios,web",이 화면이 실제 전면에 표시된 경우,"프로필 호스트와 선택 탭을 동시에 기록하지 않습니다. 커버·이력 전면이면 프로필, 작업물·소개 탭 전면이면 해당 탭 이름 하나만 기록합니다. 같은 프로필 안 스크롤은 새 화면이 아닙니다. AOS/iOS의 초기 탭 차이는 실제 보이는 탭을 따릅니다."
마이 · 나를 소개하기,마이 · 소개,my_intro,내 소개 본문을 보는 화면입니다.,하단 마이 탭 또는 내 프로필 보기 → 소개,프로필 정보 등록·수정 또는 내 콘텐츠 상세로 이동합니다.,"aos,ios,web",이 화면이 실제 전면에 표시된 경우,"프로필 호스트와 선택 탭을 동시에 기록하지 않습니다. 커버·이력 전면이면 프로필, 작업물·소개 탭 전면이면 해당 탭 이름 하나만 기록합니다. 같은 프로필 안 스크롤은 새 화면이 아닙니다. AOS/iOS의 초기 탭 차이는 실제 보이는 탭을 따릅니다."
마이 · 나를 소개하기,마이 · 포트폴리오,my_portfolios,내 등록된 포트폴리오 목록을 보는 화면입니다.,하단 마이 탭 또는 내 프로필 보기 → 포트폴리오,프로필 정보 등록·수정 또는 내 콘텐츠 상세로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,"프로필 호스트와 선택 탭을 동시에 기록하지 않습니다. 커버·이력 전면이면 프로필, 작업물·소개 탭 전면이면 해당 탭 이름 하나만 기록합니다. 같은 프로필 안 스크롤은 새 화면이 아닙니다. AOS/iOS의 초기 탭 차이는 실제 보이는 탭을 따릅니다."
마이 · 나를 소개하기,마이 · 프로젝트,my_projects,내 등록된 프로젝트 목록을 보는 화면입니다.,하단 마이 탭 또는 내 프로필 보기 → 프로젝트,프로필 정보 등록·수정 또는 내 콘텐츠 상세로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,"프로필 호스트와 선택 탭을 동시에 기록하지 않습니다. 커버·이력 전면이면 프로필, 작업물·소개 탭 전면이면 해당 탭 이름 하나만 기록합니다. 같은 프로필 안 스크롤은 새 화면이 아닙니다. AOS/iOS의 초기 탭 차이는 실제 보이는 탭을 따릅니다."
마이 · 나를 소개하기,마이 · 영감,my_inspirations,내 등록된 영감 목록을 보는 화면입니다.,하단 마이 탭 또는 내 프로필 보기 → 영감,프로필 정보 등록·수정 또는 내 콘텐츠 상세로 이동합니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,"프로필 호스트와 선택 탭을 동시에 기록하지 않습니다. 커버·이력 전면이면 프로필, 작업물·소개 탭 전면이면 해당 탭 이름 하나만 기록합니다. 같은 프로필 안 스크롤은 새 화면이 아닙니다. AOS/iOS의 초기 탭 차이는 실제 보이는 탭을 따릅니다."
마이 · 나를 소개하기,프로필 등록 · 커버 스타일 선택,profile_cover_style,프로필에 적용할 커버 스타일을 고르는 페이지입니다.,마이 → 프로필 만들기 또는 커버 스타일 변경,"처음 등록·편집이면 커버 정보 입력 폼, 이미 등록한 회원의 스타일 변경이면 저장 후 마이로 돌아갑니다.",web,이 화면이 실제 전면에 표시된 경우,캐러셀의 각 스타일은 화면이 아닙니다. 선택된 스타일 ID는 별도 값입니다.
마이 · 나를 소개하기,프로필 등록 · 커버 정보 입력,profile_cover_form,직업·ID·이름·한 줄 소개·커버 이미지·프로필 사진을 입력하는 전체 폼입니다.,"커버 스타일 선택 → 이 스타일로 시작하기, 또는 마이 → 커버 정보 편집",저장 완료 후 마이 또는 진입 화면으로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,이 알파 소스는 동일 스크롤 편집 폼 안에서 입력 블록을 펼칩니다. 직업/이름/사진 블록마다 screen_view를 만들지 않습니다. 독립 선택·편집 화면을 열었을 때만 해당 화면으로 전환합니다.
마이 · 나를 소개하기,프로필 등록 · 자기소개 입력,profile_intro_form,작업 스타일·작업 방식·추구 방향·소개 이미지·소개 글을 입력하는 전체 폼입니다.,마이 → 자기소개 등록 또는 편집,저장 완료 후 내 프로필로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,키워드 선택·이미지·글 블록은 같은 스크롤 폼의 구성입니다. 단계 이동은 form_step 값으로 추적하며 새 화면으로 세지 않습니다.
마이 · 나를 소개하기,내 정보 · 수정 항목 선택,profile_edit_info_menu,수정할 정보 종류를 선택하는 메뉴 화면입니다.,마이 → 정보 수정,선택한 정보 입력 화면로 이동하거나 뒤로 돌아갑니다.,aos,이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,프로필 등록 · 필수 정보,profile_edit_basic,필수 기본 정보를 채우는 화면입니다.,마이 → 필수 정보 안내,필수 정보 완료 안내로 이동하거나 뒤로 돌아갑니다.,aos,이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,프로필 등록 · 필수 정보 완료,profile_edit_basic_done,필수 정보 입력 완료를 실제로 보여 주는 화면입니다.,필수 정보 저장 성공,내 프로필로 이동하거나 뒤로 돌아갑니다.,aos,이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 개인정보 관리,profile_edit_personal_info,개인정보 항목과 등록 상태를 관리하는 화면입니다.,마이 → 개인정보 관리,이메일·전화번호·이름 입력로 이동하거나 뒤로 돌아갑니다.,aos,이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 자기소개 관리,profile_edit_intro_info,자기소개 관련 등록 정보를 관리하는 화면입니다.,마이 → 자기소개 정보,키워드·소개 정보 편집로 이동하거나 뒤로 돌아갑니다.,aos,이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · ID 변경,profile_edit_id,프로필 ID를 변경하는 화면입니다.,마이 → 정보 수정 → ID,내 프로필로 이동하거나 뒤로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 한글 이름,profile_edit_name_ko,한글 이름을 등록하거나 수정하는 화면입니다.,마이 → 정보 수정 → 이름 → 한글 이름,내 프로필 또는 이름 메뉴로 이동하거나 뒤로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 영문 이름,profile_edit_name_en,영문 성·이름을 등록하거나 수정하는 화면입니다.,마이 → 정보 수정 → 이름 → 영문 이름,내 프로필 또는 이름 메뉴로 이동하거나 뒤로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 직업 관리,profile_edit_profession,등록된 직업을 관리하는 화면입니다.,마이 → 정보 수정 → 직업,직업 검색·선택 또는 직접 입력로 이동하거나 뒤로 돌아갑니다.,ios,이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 직업 선택,profile_edit_profession_select,직업 목록에서 항목을 고르는 화면입니다.,직업 관리 또는 필수 정보 → 직업 추가,직업 관리 또는 입력 폼로 이동하거나 뒤로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 직업 검색,profile_edit_profession_search,직업명을 검색하는 화면입니다.,직업 관리 → 검색,직업 선택 또는 직접 입력로 이동하거나 뒤로 돌아갑니다.,ios,이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 직업 직접 입력,profile_edit_profession_custom,목록에 없는 직업을 직접 입력하는 화면입니다.,직업 검색 → 직접 입력,직업 관리 또는 입력 폼로 이동하거나 뒤로 돌아갑니다.,ios,이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 시그니처 키워드,profile_edit_keyword_signature,나를 대표하는 시그니처 키워드를 선택·관리하는 화면입니다.,마이 → 키워드 관리,내 프로필 또는 등록 폼로 이동하거나 뒤로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 작업 스타일,profile_edit_keyword_style,작업 스타일 키워드 선택만을 위해 열린 독립 화면입니다.,자기소개 관리 → 작업 스타일,자기소개 관리로 이동하거나 뒤로 돌아갑니다.,aos,이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 작업 방식,profile_edit_keyword_work,작업 방식 키워드 선택만을 위해 열린 독립 화면입니다.,자기소개 관리 → 작업 방식,자기소개 관리로 이동하거나 뒤로 돌아갑니다.,aos,이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 추구 방향,profile_edit_keyword_goal,추구 방향 키워드 선택만을 위해 열린 독립 화면입니다.,자기소개 관리 → 추구 방향,자기소개 관리로 이동하거나 뒤로 돌아갑니다.,aos,이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 지역 관리,profile_edit_region,활동 지역을 관리하고 국내·해외 지역 입력으로 연결하는 화면입니다.,마이 → 정보 수정 → 지역,국내 지역 선택 또는 해외 도시 입력로 이동하거나 뒤로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 시도 선택,profile_edit_region_city,국내 시·도를 선택하는 화면입니다.,지역 관리 → 국내,시군구 선택로 이동하거나 뒤로 돌아갑니다.,aos,이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 시군구 선택,profile_edit_region_county,국내 시·군·구를 선택하는 화면입니다.,국내 시도 선택,지역 관리로 이동하거나 뒤로 돌아갑니다.,aos,이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 해외 도시 입력,profile_edit_region_global,해외 도시를 입력하는 화면입니다.,지역 관리 → 해외,지역 관리로 이동하거나 뒤로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 이메일 입력,profile_edit_email,개인정보 이메일을 입력하는 화면입니다.,마이 → 이메일 등록·변경,프로필 이메일 인증로 이동하거나 뒤로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 이메일 인증,profile_edit_email_verify,개인정보 이메일의 소유권을 인증하는 화면입니다.,프로필 이메일 입력,이메일 관리 또는 내 프로필로 이동하거나 뒤로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
마이 · 나를 소개하기,내 정보 · 전화번호 입력,profile_edit_phone,연락용 전화번호를 입력하는 화면입니다.,마이 → 전화번호 등록·변경,전화번호 관리 또는 내 프로필로 이동하거나 뒤로 돌아갑니다.,"aos,ios",이 화면이 실제 전면에 표시된 경우,
